subconcurrency,accondate,subconform,anchetype,subcondate,acconcurrency,acconform,entname,liacconam,lisubconam
人民币,1722700000000.0,货币,,1722700000000.0,人民币,货币,451af992f2a94421b60e88e734fa18ee,0.0,50.0
人民币,,货币,公司,1712850000000.0,人民币,货币,894a6ef4bf28f4afbe5c6d9c3af22e91,,50.0
人民币,1311000000000.0,货币,公司,1311000000000.0,人民币,货币,fc9e7aad4c5ce79dc3680dc10bc8cc9f,20.0,0.0
人民币,1288370000000.0,货币,公司,1288370000000.0,人民币,货币,4333b85aec2c790b280dd98274195029,20.0,20.0
人民币,1392650000000.0,货币,公司,1392650000000.0,人民币,货币,ce6e354f41c66326cb2f9fecc0d4ff81,2.4,2.4
人民币,,货币,公司,1417360000000.0,,,0cdc7f5ed41c044d442db71e311918aa,,50.0
人民币,952618000000.0,货币,,952618000000.0,人民币,货币,223925013770f601fececcc3726cfb97,5.0,5.0
人民币,,货币,公司,1713720000000.0,人民币,货币,543b3b6a91c3be24c35c35519c8717fd,0.0,10.0
人民币,1427640000000.0,货币,GS,1451490000000.0,人民币,货币,b609736b565a3007231609ab0e138f04,100.0,100.0
人民币,1137000000000.0,货币,GS,1137000000000.0,人民币,货币,1047c281a7caf41ef380320eeefd9ff3,20.0,20.0
填写/修改后已公示,,人民币,货币,1417620000000.0,人民币,货币,0bcf6ea1b691ef7117e14a7de78e4c6d,0.0,4.0
人民币,1325780000000.0,货币,公司,1325780000000.0,人民币,货币,99785e4ea3b72047bf3203e05157ff3f,47.5,97.5
人民币,,货币,GS,2082640000000.0,人民币,货币,109323b0f00c67d0a907d87e9370a31b,0.0,300.0
人民币,1733930000000.0,货币,公司,1469380000000.0,人民币,货币,e4605f73406369b9ce40071a619150d1,500.0,500.0
人民币,,"1,",GS,1777310000000.0,0,,4a08737d787820339f1fe39b0c8acfd9,,264.0
人民币,1329320000000.0,货币,公司,1394380000000.0,人民币,货币,12ee7d478ff5166d29d760886bd7ca11,18.0,90.0
人民币,1392220000000.0,货币,公司,2082640000000.0,人民币,货币,72d5a74a2992944a1b09b40c16505dab,5.0,25.0
人民币,1178550000000.0,货币,公司,1178550000000.0,人民币,货币,56bae63f7b125495eb752e7bcc4dddd7,37.5,37.5
人民币,1480350000000.0,货币,公司,1483110000000.0,人民币,货币,7bb29cd6cc4d47e8e311c37ba5db3389,9.0,9.0
人民币,1310310000000.0,货币,公司,2240500000000.0,人民币,货币,d6293241a0ad9e57c35c2c648dad9dda,2.5,97.5
人民币,,货币,,2064240000000.0,人民币,货币,960e42c9d462fd9d55388527cd73bc0c,0.0,30.0
人民币,1439480000000.0,"1,",GS,1439480000000.0,人民币,"1,",c38d8e38a2785928f6e362ca48007d9e,60.0,60.0
人民币,1034270000000.0,货币,公司,1034270000000.0,人民币,货币,590ef35a666f5c32ddaad5ec1df1d272,31.0,31.0
人民币,2386860000000.0,"1,",GS,1440090000000.0,人民币,"1,",aa7d2532f50ea423659fad381eff0bbf,0.0,100.0
人民币,2046180000000.0,货币,公司,2046180000000.0,人民币,货币,51063393c1fe75102f70ca770109855c,0.0,210.0
人民币,,货币,公司,2034860000000.0,,,f21ac851c2ccfc352d8ec2aa986db05e,,29.4
人民币,1371570000000.0,货币,公司,1371570000000.0,人民币,货币,513cfc7418345af5c8ac3533c6108bd7,5.0,5.0
人民币,1402850000000.0,货币,,1402850000000.0,人民币,货币,cda299e07411c869e4d68f58901ad5ea,30.6,30.6
,1165160000000.0,货币,公司,1165160000000.0,,货币,08567e88771400d56ce01d5b86218afd,150.0,150.0
人民币,1304350000000.0,货币,,1304350000000.0,人民币,货币,5a0d60d9ccdaf5ff976e777cb2009a8c,50.0,50.0
人民币,1174840000000.0,货币,GS,1174840000000.0,人民币,货币,119c9cfe677a8d5b0d2a049e10e3dd4b,40.8,40.8
人民币,1303920000000.0,货币,公司,1303920000000.0,人民币,货币,13dbe94f7945ebd7862c5c9dd524735a,5.0,5.0
人民币,1222530000000.0,货币,公司,1222530000000.0,人民币,货币,59180e33c78691f159b1858a2dbbe4fe,300.0,300.0
人民币,1288020000000.0,货币,,1288020000000.0,人民币,货币,0563bdd83d942fc62220558a17e2ef57,9.0,9.0
人民币,1166980000000.0,货币,公司,1166980000000.0,人民币,货币,6195b75330192e3c368a18cbb4fc3dd1,3.72,3.72
人民币,1362670000000.0,货币,公司,1362670000000.0,人民币,货币,30ba1749b9da1d1cc05c0db4b6201814,20.0,80.0
人民币,,"1,",GS,2417270000000.0,0,"1,",91d81f0a3cb2f432a4591e9327c3dd91,,57.0
人民币,1361460000000.0,货币,公司,1361460000000.0,人民币,货币,a3985b4ee927bc8ceddefa345eebaa52,1.5,1.5
人民币,1263230000000.0,货币,公司,1263230000000.0,人民币,货币,c80c9e5a1836bbe292a7eb282689706a,50.0,50.0
人民币,,货币,GS,2380810000000.0,人民币,货币,2bd15b29018eb577ccb18704d729afbb,0.0,150.0
人民币,1415720000000.0,货币,公司,1415720000000.0,人民币,货币,81010ff384bef1f6e3a49688645b644d,95.0,95.0
人民币,1253980000000.0,货币,公司,1253980000000.0,人民币,货币,67205cf044d6b4f395e9e1e8d8f76db9,14.7,51.45
人民币,1363100000000.0,货币,公司,1363100000000.0,人民币,货币,de5ade03041d5db93270e2f363e91ad4,27.0,27.0
人民币,1392830000000.0,货币,公司,1455810000000.0,人民币,货币,768ff4b3079b759c6f28336a6cc7372c,4.0,10.0
人民币,1380040000000.0,货币,公司,1380040000000.0,人民币,货币,0f1e8f4dca466824fb1c3b27a998ce1d,153.0,153.0
人民币,1064250000000.0,货币,GS,1064250000000.0,人民币,货币,b69b0cae1762b7f0ef3e1d3903c1fd6f,7.0,7.0
人民币,1369150000000.0,货币,公司,1369150000000.0,人民币,货币,679746f2f3a072b71957535dbee1e4f3,90.0,90.0
人民币,,货币,GS,1429720000000.0,人民币,货币,5c67575199bc83743b99aecc819da3a9,170.0,170.0
人民币,1483110000000.0,"1,",GS,2145800000000.0,人民币,"1,",3967b179d16a7c4a79e735b37dcdb3b1,0.0,120.0
人民币,2080830000000.0,货币,公司,2080830000000.0,人民币,货币,1c6bc481e4b0b8c06f4045c89f6df582,0.0,245.0
人民币,1325610000000.0,"1,",GS,1325610000000.0,人民币,"1,",1409110cf9fccb8edab9fd54718196e6,20.0,20.0
人民币,1387380000000.0,货币,公司,1387380000000.0,人民币,货币,3e08ba5e65d081030bea8e3f97e91562,10.0,10.0
人民币,1336060000000.0,货币,公司,1336060000000.0,人民币,货币,60b097387091c9b71e3d614343460462,40.0,40.0
人民币,,货币,公司,1498490000000.0,人民币,货币,ef6937ebf96fb8fbf192f4b68a306dd3,0.0,10.0
人民币,,货币,GS,2042550000000.0,人民币,货币,fcce2cf0ec9b76a27d754446b6ddb498,0.0,90.0
人民币,1711810000000.0,货币,公司,1711810000000.0,人民币,货币,8c1c9cf8985d89cf98c26236725e38cc,5.0,5.0
人民币,1267030000000.0,货币,GS,1267030000000.0,人民币,货币,ed3b2fc2985009d7b0dba9b5c39fea6f,1.0,1.0
人民币,1460740000000.0,货币,公司,1460740000000.0,人民币,货币,2f7b944d67670735ab60afb2e0d28a3e,1.5,1.5
人民币,,货币,公司,2403100000000.0,,,b672fa5598a80652a694d2577f454ff1,,40.0
人民币,1363280000000.0,货币,公司,1362070000000.0,人民币,货币,c22ecd27a9c547b36dcab55a68c53c68,70.0,70.0
人民币,1342370000000.0,货币,公司,1342370000000.0,人民币,货币,dab5519407f8e2dd24b18ae8e57f263b,0.99,0.99
人民币,1478450000000.0,货币,公司,1478450000000.0,人民币,货币,1951d2c88e33a9a1785179d0c8faf98c,20.0,20.0
人民币,1439740000000.0,货币,公司,1754760000000.0,人民币,货币,dac147ae70343292888405b0ccd69ebb,5.0,210.0
人民币,,货币,公司,2373120000000.0,,,22091818d44b2906c18c263adfcc14ab,,50.0
人民币,1239210000000.0,货币,公司,1239210000000.0,人民币,货币,09fb773df821ea77761920438b69593c,5.1,5.1
,,货币,公司,1525100000000.0,,,7d9d60596148d9ab465375e5690ddfb7,,3.0
人民币,,货币,公司,2081260000000.0,,,125618b176fa1755d6a380a3d01c9fa8,,270.0
人民币,1135010000000.0,货币,公司,1134660000000.0,人民币,货币,9b9b27e06dbf31df67a9ec2cd3d1a23f,20.0,20.0
人民币,1213890000000.0,货币,公司,1213890000000.0,人民币,货币,8c21a10ac07c2d49b117721666569d03,90.0,90.0
人民币,,货币,公司,2380550000000.0,人民币,货币,297d8100303d3526d7e6ee0e805ad9c7,0.0,300.0
人民币,1057510000000.0,货币,,1057510000000.0,人民币,货币,a8d6f68e66c94fe4ee65aad0a4e96838,10.0,10.0
人民币,1273420000000.0,货币,公司,1273420000000.0,人民币,货币,7f3ea8324166a95c93f653ba868d4043,30.6,30.6
人民币,1451490000000.0,货币,公司,1403110000000.0,人民币,货币,bb8a73b6fd59866da0685adfe9ae3cec,50.0,50.0
人民币,1388330000000.0,货币,,1388330000000.0,人民币,货币,d5a011a45678d5d063c388bfb3eddb0f,1.5,1.5
人民币,,货币,公司,2376580000000.0,人民币,货币,9984ad100e9ea35dffed29b96bc2ad2f,0.0,50.0
人民币,1256570000000.0,货币,GS,1256570000000.0,人民币,货币,b5fec184c0cc817abafb9b737c216a8c,4.0,4.0
人民币,2680010000000.0,货币,公司,2680010000000.0,人民币,货币,9273fb45e86d6732cdf4b2adff7542f4,32.0,32.0
人民币,,货币,公司,1482850000000.0,,,d551eb520d5524b002bf43431b7208d3,,26.0
人民币,1313340000000.0,货币,公司,1313340000000.0,人民币,货币,1508f41274eec427cf8af3c0a33ce132,30.0,30.0
人民币,1365610000000.0,货币,公司,1365610000000.0,人民币,货币,219b12e1fe66ed20e3720bfd43b9e0cf,2.0,10.0
人民币,1439140000000.0,货币,公司,1439140000000.0,人民币,货币,792008ce0026a0c915537f557c1be5da,400.0,400.0
人民币,1473090000000.0,货币,公司,2103810000000.0,人民币,货币,82f4c7b7aa323bd2b8b5a2a33fd1cd82,1.0,50.0
人民币,1320340000000.0,货币,公司,1320340000000.0,人民币,货币,6f13a7014cb149af128ec4f54010d705,2.5,2.5
人民币,1157300000000.0,货币,公司,1157300000000.0,人民币,货币,a063879dc877099813997072a0ef9eb2,81.0,81.0
人民币,1368120000000.0,货币,公司,1368120000000.0,人民币,货币,6b6c237b4813c31dad26d0959223fdaa,50.0,50.0
人民币,1427820000000.0,货币,公司,1427820000000.0,人民币,货币,1022380e3a749cda10038bbbce9c7375,4.0,20.0
填写/修改后已公示,,,货币,1457020000000.0,人民币,货币,621a8563fc8e676f095ed2ce751c05b3,0.0,300.0
人民币,1230740000000.0,货币,,1230740000000.0,人民币,货币,ff3cdf0704d0d9b8c247bbf13786d816,51.0,51.0
人民币,,货币,公司,1767110000000.0,人民币,货币,067e8ed776c57c6ba5056c8a22b9fbdc,0.0,150.0
人民币,1345390000000.0,货币,,1345390000000.0,人民币,货币,f005a32ab865054aebc4cb78886661bb,1.5,1.5
人民币,1506610000000.0,货币,,1506610000000.0,人民币,货币,f3e438a279d08efe37c2c7960890cfc3,7.35,7.35
人民币,1372780000000.0,货币,公司,1372780000000.0,人民币,货币,72c2456423a462cff04fbae373a92eb4,24.5,24.5
人民币,,货币,公司,2415200000000.0,,货币,0201131ac892f6be605bd289abc65eea,,84.9
人民币,1449590000000.0,货币,公司,2082640000000.0,人民币,货币,61851097e8f542f38c269cf5a1bbec78,5.0,5.0
人民币,1279380000000.0,货币,公司,1279380000000.0,人民币,货币,c1f8bc7ebc81127abcf063415e71358e,22.6,22.6
人民币,1403020000000.0,货币,公司,1403020000000.0,人民币,货币,41dee339a1b0e8126bab238a8f4c2dc6,30.0,30.0
人民币,1319640000000.0,货币,公司,1319640000000.0,人民币,货币,cf3e4b74af56f3df148e583d4509a6c8,13.5,13.5
人民币,1024590000000.0,货币,,1024590000000.0,人民币,货币,5568bffc04be84004285a6ca3b31a0a1,10.0,10.0
人民币,1382460000000.0,货币,公司,1382460000000.0,人民币,货币,a1d04560f118020523a21abc5d4534a1,19.0,19.0
人民币,1381680000000.0,货币,,1380470000000.0,人民币,货币,00cc1ae8636690d00f765e9bd74fc1e2,200.0,200.0
人民币,1262190000000.0,货币,公司,1262190000000.0,人民币,货币,c475fec95c91ce75cc00bcb07ed59250,49.0,49.0
人民币,2045580000000.0,货币,,1414430000000.0,人民币,货币,484115fa1acd499870c0d696db9b9101,240.0,240.0
人民币,,货币,公司,2241530000000.0,,,c0d0465528a765c6d86d10ec271ecfaa,,588.0
人民币,,货币,公司,2398260000000.0,人民币,货币,61265a1c304050cb83451f21b476de17,,560.0
人民币,1464710000000.0,货币,公司,2094740000000.0,,货币,9e5e06f6c7d5eb90181662312e252d8e,3.0,100.0
人民币,,货币,GS,1447170000000.0,人民币,货币,16bf9092a723f1b2500bdf994fb7f0dc,0.0,300.0
人民币,1403710000000.0,货币,公司,1403710000000.0,人民币,货币,b1455ba9399886dea9bce72fc6c0415a,49.0,49.0
人民币,1222360000000.0,货币,,1222360000000.0,人民币,货币,f7e511b0b217578106009eac47be78ec,336.6,336.6
人民币,1369930000000.0,货币,公司,1369930000000.0,人民币,货币,dd9e30f8ca43cfc9ae164534c434c63e,0.4005,0.4005
人民币,,货币,GS,2367070000000.0,人民币,货币,466448515d110f021945033d8db3d75a,0.0,300.0
人民币,,货币,GS,1405350000000.0,人民币,货币,0c3fa4de668be16d3f994aee585b9160,0.0,30.0
人民币,1287500000000.0,货币,公司,1287500000000.0,人民币,货币,7842fc2bee252e8b691b9318b3b00b5a,30.0,30.0
人民币,1382890000000.0,货币,GS,1382890000000.0,人民币,货币,1b6c6387ec86327b9f89e3bbd0ca8c78,125.0,125.0
人民币,1367770000000.0,货币,公司,1367770000000.0,人民币,货币,054a507ae5d8f92c922663d0476bad9d,7.0,7.0
人民币,1167670000000.0,货币,公司,1167670000000.0,人民币,货币,8a33498569a6ba20e106047a1511c862,41.0,41.0
人民币,,货币,公司,1117560000000.0,,,2cd05a03f8449ea8ec7b50b8e133698e,,6.5
人民币,,货币,,2046360000000.0,人民币,货币,0318f35376ced5cb0e3c2838ebfa3eb2,0.0,30.0
人民币,1382030000000.0,货币,公司,1382030000000.0,人民币,货币,c711744fcaf62a73e983912164ced843,5.0,5.0
人民币,1337880000000.0,货币,,1337880000000.0,人民币,货币,d2859690b060cc210a0f08bf560ab61a,35.0,35.0
人民币,1329750000000.0,货币,,1329750000000.0,人民币,货币,9f638d23128d5218809e6efb1d6813c1,15.0,15.0
人民币,1241540000000.0,货币,公司,1241540000000.0,人民币,货币,2756431c267090388348b5f0ad095c4e,75.0,75.0
人民币,1059060000000.0,货币,GS,1059060000000.0,人民币,货币,163d0cf906eea86db03e3532a3f24c61,50.0,50.0
人民币,1267980000000.0,货币,公司,1267980000000.0,人民币,货币,9c1ebd86859b009ea8cc9031b32b44cb,3.0,3.0
人民币,,货币,GS,2436620000000.0,,,88d12dd8d62278e355d766497d2cb5f7,,350.0
人民币,1317310000000.0,货币,公司,1317310000000.0,人民币,货币,e433878f50220feb04bea8d3d19f27ad,2.0,2.0
人民币,1129130000000.0,货币,公司,1129130000000.0,人民币,货币,77cc23b11d8368834be2cfd4764971f8,5.0,5.0
人民币,1448990000000.0,货币,,1448990000000.0,人民币,货币,dcb50d27afa3ed81e21483505742dc83,50.0,50.0
人民币,1367940000000.0,货币,公司,1367940000000.0,人民币,货币,b6633fcc5f472423b707fb11f4106bec,47.5,47.5
人民币,1275320000000.0,货币,,1275320000000.0,人民币,货币,a7ba3f0b3ea9a00cd141dfb302aa8b31,10.0,10.0
人民币,1751300000000.0,货币,GS,1751300000000.0,人民币,货币,020386733ad6190efada6aa973c3b5df,5.0,5.0
人民币,,货币,公司,1418310000000.0,人民币,货币,c86a897c814aa5248ebfb42ebcddcafa,200.0,200.0
人民币,1384270000000.0,货币,公司,2050420000000.0,人民币,货币,1e15a7fe02d12941827b0504f6f48bd6,4.0,38.4
人民币,1376240000000.0,货币,公司,1376240000000.0,人民币,货币,dda6f0f45e4f3a0251eb3467bab15dc9,10.0,10.0
人民币,1454600000000.0,货币,GS,1453220000000.0,人民币,货币,335ac6207ca20cdf80294558b9580c64,100.0,100.0
人民币,2418310000000.0,"1,",GS,2418310000000.0,人民币,"1,",779b2f25daf54f08598afd2318de0fa6,0.0,51.0
填写/修改后已公示,,人民币,货币,2391700000000.0,人民币,货币,3c673beeeeb3de349941781b366b8700,0.0,30.0
人民币,1362500000000.0,货币,,1362500000000.0,人民币,货币,8d5088f6ab9004bbcb1de79f38d75874,186.0,186.0
人民币,1133970000000.0,货币,,1133970000000.0,人民币,货币,1d32b51746047332302db368c40a401d,9.0,9.0
人民币,1385050000000.0,货币,公司,1385050000000.0,人民币,货币,e433c54d4236054dded94cb4a6fdd957,13.13,13.13
人民币,,货币,,1413130000000.0,人民币,货币,7be8e04f800e8191c20c7d17f12077b8,72.0,72.0
人民币,1184860000000.0,货币,公司,1184860000000.0,人民币,货币,d7eb4f44396229a0d2283e44c8e6b497,20.0,20.0
人民币,1346080000000.0,货币,公司,1346080000000.0,人民币,货币,092119ef9e5b80ee4ec9ed51262d08c5,26.0,26.0
人民币,1283360000000.0,货币,公司,1283360000000.0,人民币,货币,ee6f49f6c26a7660fc911017c186975e,5.0,5.0
人民币,1336580000000.0,货币,GS,1336580000000.0,人民币,货币,f1672dbb34284b5e77413112699ef627,2.0,2.0
人民币,1318090000000.0,货币,公司,1318090000000.0,人民币,货币,85110d11731734bd9bb476d6be914b14,1.05,1.05
人民币,1783960000000.0,货币,公司,1783960000000.0,人民币,货币,b59fb5a58a5761ed71fc12edf3528a11,0.0,6.5
人民币,1417620000000.0,货币,公司,1417620000000.0,人民币,货币,ade74f99fc55e10aeaf35961b7cabc2a,120.0,120.0
人民币,1330010000000.0,货币,公司,1330010000000.0,人民币,货币,14e17c22004b998be1a583198ae888b3,25.0,25.0
人民币,1764430000000.0,货币,公司,1764430000000.0,人民币,货币,464db8ed101f597d650cbc4e3dd46f67,100.0,100.0
人民币,1389630000000.0,货币,公司,1389630000000.0,人民币,货币,4926ead457721700b987b43598a5d976,105.0,105.0
人民币,,货币,公司,2061480000000.0,,,bfdc7a23235fbceaa58261cff702479d,,150.0
人民币,2407160000000.0,货币,公司,2407160000000.0,人民币,货币,e555e8c41aca759a98b5409d2ff69e45,0.0,2.4
人民币,1313340000000.0,货币,公司,1313340000000.0,人民币,货币,9ab4c2b74519f9b6f2228ba9c1ba0203,8.0,8.0
人民币,1409070000000.0,货币,GS,1409070000000.0,人民币,货币,369749d74234a6c1be28258517fc4e01,255.0,255.0
人民币,1071160000000.0,货币,,1071160000000.0,人民币,货币,aa42b31f79c50e35767bafe034e0c1bc,400.0,400.0
人民币,1431960000000.0,货币,,1431960000000.0,人民币,货币,b2f9f28c17d8ab3d1b8d3b39762bdbf2,12.0,12.0
人民币,1278350000000.0,货币,公司,1278350000000.0,人民币,货币,0b6e31fec04a44f0db3da99957c729fe,45.0,45.0
人民币,1361460000000.0,货币,公司,1361460000000.0,人民币,货币,b7bb1ac38b0be918640ec7fba612e355,20.0,20.0
人民币,,"1,",GS,2061390000000.0,人民币,,992b50cc22400ee19df0d7f789bdf3a4,,50.0
人民币,1130340000000.0,货币,公司,1130340000000.0,人民币,货币,611a3e133a0e5d2ce6d98e6ceeba11f9,200.0,200.0
人民币,,货币,公司,2072970000000.0,,,83bfa8e8030ccca496cb29a59d1ac0f0,,100.0
人民币,1149700000000.0,货币,GS,1149700000000.0,人民币,货币,12779c5714ca25ded8f6fa9b5dc7cc66,25.5,25.5
人民币,1298220000000.0,货币,GS,1298220000000.0,人民币,货币,47d22185238840b73228748d4d31a2d3,18.0,18.0
人民币,1208710000000.0,货币,,1208710000000.0,人民币,货币,61c10d5f461fea3cf52c6ff0632c8ff8,30.0,30.0
人民币,1110820000000.0,货币,公司,1110820000000.0,人民币,货币,6dc906d4d349080a946c2886a1578dc3,2.0,2.0
人民币,1371480000000.0,货币,,2047650000000.0,人民币,货币,46d2bb0d770ba6daae0ae206e6181d4e,25.0,150.0
人民币,1260890000000.0,货币,公司,1260890000000.0,人民币,货币,565b203508a2061ccdcf98af98f3b0ef,45.9,45.9
人民币,1273080000000.0,货币,公司,1273080000000.0,人民币,货币,b34a9d6dda15a29ef39cbc7528040a5d,3.0,3.0
人民币,,货币,GS,1717080000000.0,人民币,货币,651157f84f4144a006a1056040f0cd3b,0.0,2.5
人民币,1413130000000.0,货币,公司,1570900000000.0,人民币,货币,2f03aa54c80e1d46d35c076316b17729,18.0,475.0
人民币,1283790000000.0,货币,公司,1283790000000.0,人民币,货币,42a983f5ce139f08f6a82927f54201b3,15.0,15.0
人民币,1387120000000.0,货币,GS,2429020000000.0,人民币,货币,bd7e895706b141dacc7bd39dcc84be62,3.0,450.0
人民币,1312990000000.0,货币,GS,1312990000000.0,人民币,货币,3418551ad519e4a81b6fc53b87d52bf6,20.2,20.2
人民币,1277830000000.0,货币,公司,1383490000000.0,人民币,货币,90b4209c0dbfcdf1a7de52df492a07ec,20.0,20.0
人民币,1403190000000.0,货币,,1427730000000.0,人民币,货币,b63d1cdc6bdfdca86e7afe5df9680fa5,40.0,40.0
人民币,1446390000000.0,货币,GS,1446390000000.0,人民币,货币,195e8a1a42c4c18cfda6a941216cb2eb,0.0,105.0
人民币,1277910000000.0,"1,",GS,1277910000000.0,人民币,"1,",761646f0728c34796dd521e97fbbdce4,30.0,30.0
人民币,1268930000000.0,货币,,1268930000000.0,人民币,货币,9c0d0363554e022a9b91beba70e7cf22,5.1,5.1
人民币,,货币,公司,3020170000000.0,人民币,货币,ecbffe3e7fd8d1b8dcd9f08163fe2e49,0.0,24.0
人民币,1402330000000.0,货币,公司,1717860000000.0,人民币,货币,8c5079d1d096716ff15ef717d5b6f45e,240.0,300.0
人民币,1384960000000.0,货币,公司,1384960000000.0,人民币,货币,d3f20acfacaff8c6782c242aab879cb2,10.0,10.0
人民币,929981000000.0,"1,",GS,929981000000.0,人民币,"1,",965640f6b579ad2f8955d1feb9e73bbd,5.0,5.0
人民币,1329670000000.0,货币,,1329670000000.0,人民币,货币,3f094d740ab3872a09eb3aa0fda82d26,10.0,10.0
人民币,1392130000000.0,货币,公司,1392130000000.0,人民币,货币,b26987d460a11d44790c0e3e39ac4387,5.0,5.0
人民币,1220460000000.0,货币,公司,1220460000000.0,人民币,货币,1d8f696e758f7d7f5e002f94b79659d8,120.0,120.0
人民币,1389200000000.0,货币,公司,1389200000000.0,人民币,货币,aff318b2b5ad7908f44de3715f70406a,1.5,1.5
人民币,1104850000000.0,货币,GS,1104850000000.0,人民币,货币,9dc02ec2ae1ef9951a6f71616f2f4b3d,45.0,45.0
人民币,2051110000000.0,货币,公司,2051110000000.0,人民币,货币,e3bebf7f867ab80da1ba5b5abde9aa1d,0.0,16.0
人民币,1009210000000.0,货币,,1009210000000.0,人民币,货币,21288790834a7d506f19c31729f18d15,24.0,24.0
填写/修改后已公示,1304960000000.0,人民币,货币,1304960000000.0,人民币,货币,bd782845fd39a3f0bfae2817e9bc80e3,25.0,25.0
人民币,1429550000000.0,货币,GS,1429550000000.0,人民币,货币,24451ddb02e3d199aa30a38e96c7999c,15.0,15.0
人民币,,货币,公司,1372780000000.0,人民币,货币,7203f9748e8e27a7ecf5384ceb1e7bea,,50.0
