remark,dataflag,alttime,altitem,entname,cxstatus,altdate,openo
1,核准通过,1.0,村(路/社区),1c319dcd434b5ff55950be02da746652,变更,1535990400000.0,e2bd0165886fb29d2262
1,核准通过,1.0,联系电话变更,64ca8d5df04ef1f4bc724b2f55038b97,,1478188800000.0,37012721610260011
1,核准通过,1.0,章程备案,ac9332cdfb9a365d90c991397dff5269,,1489507200000.0,37010421702280018
,核准通过,1.0,投资人(股权)变更,eba00e2a89f5d3824e2f02f445ae4570,变更,1339430400000.0,37012720120612000006
,1,2.0,号,70b0741a356aef24bac2a12e1bacf83e,1,1523462400000.0,8c980162851142896641
1,核准通过,1.0,章程备案,63e4e6b1dc03bf08e7f57f350149b55d,变更,1440086400000.0,37018121508200020
,核准通过,0.0,董事备案,c3a221bc38287aff78b18edc7005e46d,变更,1398787200000.0,WB370113140408000025
,核准通过,1.0,注册号升位,6342c9c89324ef84d967e952db7f04dc,变更,1213321783000.0,3701002816535
1,核准通过,2.0,经营范围变更,e9f72249421f68ea4ebfa0362f584b4b,,1477929600000.0,37010321610260055
1,核准通过,1.0,注册资本(金)变更,181981dd6073c29cc17085949115cffb,,1502035200000.0,37010521707190078
,1,16.0,行业代码,b713f84540e0507d1334b89514a0a1e1,1,1351094400000.0,37011220121024000041
,1,0.0,换照,cc970787e7b8c5010a93300441ced168,1,1415548800000.0,37010320141110000085
1,核准通过,1.0,董事备案,95be89c3d31b72f4822dbe4ebab60b44,,1474473600000.0,37011321606160018
,1,5.0,投资人(股权)变更,e38d20bb1f2f2a838d777134ad913ce6,1,1146357868000.0,370100121898
1,1,1.0,乡(镇/街道),db70aace042bd59279f64b03514ce1b9,,1460563200000.0,37010421603230053
1,核准通过,1.0,章程备案,b3cbc9e4da6294547e5151946fe5c345,,1479744000000.0,37012721611100043
1,核准通过,1.0,村(路/社区),1c146e44a898b79691f3e5e573f92e68,变更,1436803200000.0,37010521506180018
,核准通过,5.0,住所变更,7235098f28e4d47999a12282f5e33621,变更,1275235200000.0,37010220100531000008
1,1,1.0,投资人(股权)变更,3edb6368f8a5315adf7653fcf54e06a1,,1514131200000.0,37010521712140077
1,1,1.0,省,c6e8fb3f642a62215c1c40a8d9a107c3,1,1527609600000.0,8464016386708cc0446e
1,1,1.0,工商所变更,5abe07835f7b0171592fd57e4e57d87d,1,1498147200000.0,4a13015ccd8909fd205a
,1,1.0,投资人(股权)变更,55124f4a9fb6d65fa623371437512613,1,1322064000000.0,37018120111124000027
1,1,1.0,联系电话变更,8e0645add53156030cb1d16855bac602,,1488988800000.0,37010221701100040
1,核准通过,2.0,经营范围变更,0063896c4bc0b906a2d3674f09669149,,1474560000000.0,37011221609180043
,核准通过,1.0,工商所变更,927aea78597d711cb027c59a9ba6970e,变更,1523203200000.0,37012521803060023
1,1,1.0,联系电话变更,93b2e942778f9c65ba8fda50c58f8a39,,1476892800000.0,37010521609270029
,核准通过,1.0,企业类型变更,a3f849a2df2ad70824695037b1803877,变更,1213061607000.0,32300
,核准通过,1.0,法定代表人变更,7d38c138f8ffe456348b61b16a81cc90,变更,1093569418000.0,37010078691
1,核准通过,1.0,管辖机关,88685ee356f3563ed479fc43e69c1948,变更,1519228800000.0,a05b0161bc26b2fa043b
,1,1.0,经营范围变更,628a44e722bb148abb974b99cf8f4ac4,,1460563200000.0,37012521604060009
1,核准通过,1.0,经营范围变更,51a8c138a87dba9cb15f1187769d88fc,,1504454400000.0,37010521708310050
1,核准通过,2.0,章程备案,909bbb8aa3fc4496839efd17013b118d,,1481212800000.0,37012721611110027
MC37010220100430000002,核准通过,25.0,名称变更,b8063515a1ad63ad6617253fb760c195,变更,1273161600000.0,37010220100507000008
1,核准通过,1.0,号,517183e6decb0fb0c5a26f0f1dc64cd7,,1515945600000.0,37011221712210076
,1,1.0,名称变更,0dfa16f36b83f7bffa0c817e2603d4bb,1,1383580800000.0,WB370104131101000014
,核准通过,4.0,法定代表人变更,e1520b128cdbf264d5f54cee17b5afbc,变更,1421683200000.0,WB370105150111000004
,核准通过,1.0,市,b48edde6c7a3de11d71d64079f0db03d,,1497283200000.0,37018121706130024
1,核准通过,1.0,监事备案,3477430610c61e7546494815a496b04f,变更,1449504000000.0,37010321510270015
1,核准通过,2.0,经营范围变更,1b824a9decce2e322330d0c715b1709c,变更,1452441600000.0,37011221512240049
,核准通过,4.0,一般经营项目变更,f17c3a9ed2e43bdca09f21c451680204,变更,1354550400000.0,WB370100121204000004
1,核准通过,1.0,号,c496a44b1d2d218943c1d8970e85afe5,,1496332800000.0,37012721705100071
1,核准通过,1.0,章程修正案备案,19ab513218f76bbf0b0bfad1d79dddf1,,1533657600000.0,e0190164f02e116f02b0
,核准通过,1.0,名称变更,43fe9e3adaa416b2ff03b05b19731c57,变更,1454342400000.0,37010421601220008
,核准通过,4.0,其他变更(邮政编码),0c3092e3c37f1d68bc61cb1af2c8d871,变更,1166145647000.0,370100139926
,核准通过,6.0,经营期限(营业期限)变更,6faf3d621790842e5365fd742f0d43b8,变更,1088648314000.0,zx75320
,核准通过,6.0,投资人(股权)变更,2d8dcce42423f692df54d49264fc2dd8,变更,1149751420000.0,3701819396
,1,4.0,登记机关变更,ed3c82dc0c010c403cd7e710b0f9690a,1,1351749446000.0,37010520121101000117
1,核准通过,6.0,市,d108bc010d895c2c1d8adc1d23605422,变更,1457971200000.0,37012721603090053
1,核准通过,1.0,章程修正案备案,46d04c0df85ca644cd2d402bd1d2f68d,变更,1434643200000.0,37012421503310015
1,1,4.0,省,ef3667681f0d3884be2064e34fad02d1,,1502812800000.0,37012721708040088
1,1,1.0,省,dc642a049a3f1e2a60d25a1b47b505f9,1,1523289600000.0,160c0162526415840e95
,核准通过,0.0,董事备案,a01c7d2855a32e2b909d8df403feed85,变更,1397491200000.0,WB370112140328000049
1,核准通过,1.0,清算组成员备案,b94e22612b6a6d3d45fd843f5031c201,,1510761600000.0,37018121711160014
,核准通过,3.0,注册资本(金)变更,b018605353627f60338369b8373dc06b,变更,1402329600000.0,WB370113140605000006
1,1,1.0,投资人(股权)变更,35c62e550db380a32d1e9d161cd7510a,,1480953600000.0,37018121612060020
1,1,1.0,法定代表人变更,b2eb19d21631ee1c0fc2b07b98803687,,1484150400000.0,37011221701040054
1,核准通过,1.0,号,9b72a73479ff20e15a84fa19f999aef5,,1479225600000.0,37010521610260016
,核准通过,1.0,经营期限(营业期限)变更,e692b103b7039715c28dfae57431a440,变更,1189650962000.0,37010232836
1,核准通过,1.0,乡(镇/街道),46eb02bb70a5f1a844fd0083545d3745,,1497542400000.0,37012421705020011
1,核准通过,1.0,章程备案,122b642be5e5e3d17e1ab00246f636b7,,1510243200000.0,37010421710270055
,核准通过,1.0,注册资本(金)变更,f4c7f16e86578d5c6939faaf23d9a737,变更,1368028800000.0,WB370105130507000013
1,核准通过,1.0,清算组负责人备案,2dd05afef62028120246015dd4101fbf,变更,1535472000000.0,c1a80165846a2ffd3be8
1,1,1.0,经理备案,7ff5a03d1d580df27dd3962ec22a1288,,1500566400000.0,37012721706290015
1,1,1.0,法定代表人变更,9fa0bc2ad993efb4c9c677b8a25ae653,,1488124800000.0,37010221702160117
,1,1.0,省,7a95834224c9684f419ee541d68e32b5,1,1504627200000.0,38ef015e508c33421efd
1,核准通过,1.0,经理备案,cb45e64b924344a9bf98bb24fe94dbca,,1488124800000.0,37018121702270011
1,核准通过,1.0,县(市/区),5aca079a5332a39e0fd6548da1cb230d,,1510588800000.0,37012521711010007
1,核准通过,1.0,村(路/社区),785ae4948c7b8d92dc4fc664d5cd36b7,变更,1531756800000.0,b2e00164832d13fd50c3
1,1,1.0,号,95e7216bec2b2fdc6ef42473e3a62777,1,1431878400000.0,37010521504270054
,核准通过,1.0,号,12f894a7dd7de6d52f87fe25ca09a6cc,变更,1446998400000.0,37012521510250001
1,1,1.0,省,9d833ccb15bd59b087b0fad130ae3a2f,1,1455552000000.0,37010221602030029
1,核准通过,1.0,章程备案,5f4f469ccb1b1475e931fe921dbcd4ae,,1501171200000.0,37010521703300026
,核准通过,0.0,换照,2e2c110a0400c532559c0663ddbcb589,变更,1414425600000.0,37010320141028000051
1,核准通过,2.0,经营范围变更,fcc6c0f015f61850254f80dc9c11f9f3,,1462291200000.0,37011321604270009
,核准通过,1.0,投资人(股权)变更,8fd75b08cbbc4751a48ce7f11a88b97f,变更,1398355200000.0,WB370104140418000017
,核准通过,0.0,换照,37dc3463ae3bd42f59658234bf228b6a,变更,1414684800000.0,37011220141031000058
1,核准通过,4.0,注册资本(金)变更,93619e872061b35d85eba935aec35709,,1510070400000.0,37010321711020073
,1,2.0,其他变更(邮政编码),e34ada07bc7be42a7bb94ff1ed6f53dd,1,1383580800000.0,WB370104131024000020
,核准通过,5.0,住所变更,84846bf96dd8e2701ef8aeb43d8a0673,变更,1114099200000.0,370100175643
,核准通过,1.0,登记机关变更,aec1a0298e51e6c3fc09c713be81763e,变更,1351747682000.0,37010220121101000119
,核准通过,2.0,投资人(股权)变更,511cd1edede3b550153fa35112ac6693,变更,1062645309000.0,3573
1,1,2.0,法定代表人变更,01c1fa59bf40269bf4e3a5e088a434e7,,1474473600000.0,37010321604130095
1,1,1.0,联络员信息,ab4f924b5c03ea05b2179b491ccc3036,1,1526400000000.0,5175016320ae55be02ed
1,核准通过,1.0,经理备案,f374efff0f9798e5fee46eb982a915e7,,1497801600000.0,37010421706010010
1,1,1.0,清算组负责人电话,ec8ee6becaaffd65471019ee5cc87018,,1491753600000.0,37010321703220001
1,核准通过,1.0,市,9b95ebb60413b8fc69b0efea911d32c0,变更,1528300800000.0,be210163682669b173c5
,核准通过,1.0,企业类型变更,a08d1bca7e29c17a1ce0f8c9a54763b7,变更,1246377600000.0,37010020090701000056
,1,7.0,名称变更,e0a719d81280acc3368e61d5d982cbdd,1,1002729600000.0,3701048468
1,1,1.0,经营范围变更,92dcfa9fbd9b878d35f3bcc1be5bc625,1,1454256000000.0,37012421601270006
1,核准通过,3.0,村(路/社区),e481ca08e3ddd56cee7b0987ed008017,变更,1530547200000.0,a5cb0163ec3099e13171
,1,1.0,法定代表人变更,f6653981e1bd9540b4a50a61a9ca5dd5,,1514822400000.0,37010421712060077
1,核准通过,3.0,联络员信息,12aab0b4afa9b978b44cd7002cb90e63,变更,1456243200000.0,23a001531124b5b2081b
,1,5.0,许可经营项目变更,546b157e7d82d88b01fecd4b31509c53,1,1373904000000.0,WB370103130711000024
,核准通过,2.0,工商所变更,2f5bb28f6eded75847da655371875d26,变更,1492617600000.0,37010421704070045
,核准通过,1.0,法定代表人变更,97511e6b345e056222855b84d1352db5,变更,1384963200000.0,WB370103131104000013
1,核准通过,1.0,投资人(股权)变更,ac74618c1e980be43713ecd33367ec37,,1479052800000.0,37010421609060001
1,核准通过,1.0,投资人(股权)变更,b72e64a2239c9a5d47730cb751553615,变更,1448812800000.0,37010521511170053
,核准通过,1.0,清算组成员备案,76e072d78fcbe006cdccd7c17e41e5af,变更,1451404800000.0,131e0151d2c5c4592d85
1,1,1.0,联络员信息,3e3c8eb74948e557017966e978487f16,,1474819200000.0,37010221608310092
,核准通过,5.0,经营范围变更,e811bcbdf42d7c367e0f262afabd6346,变更,1268668800000.0,37011220100316000038
1,核准通过,3.0,市,7f3a421bc02ade6219cee86fdbbbd3b6,变更,1487606400000.0,3d8b015a5f3145463c6f
1,1,1.0,市,5e9ba257f2352323ee023f07bb2da01a,,1495728000000.0,37012521705240020
,核准通过,11.0,登记机关变更,8c9c6e8c7f8ae5842f1d2eb70fd6ff5e,变更,1165900719000.0,17066
,核准通过,16.0,其他变更(邮政编码),839015d58ff0000683f1462d263aecf3,变更,1180281600000.0,37012713558
1,核准通过,1.0,章程备案,8138973a6850b35241e38e5fd6fdf78d,,1492012800000.0,37011221704110060
,2,,县(市/区),118626de8f2e3cf9aa3017d168eff8ed,1,,9860015b83981d5e3c17
1,1,2.0,乡(镇/街道),7a95834224c9684f419ee541d68e32b5,,1520524800000.0,37011221802240025
,1,2.0,投资人(股权)变更,f76d7846a38584cf301b55613fece7bd,1,1353945600000.0,37012720121127000007
1,核准通过,1.0,章程修正案备案,d22bc92ebfa50851948b12eb2b25fcd8,,1504108800000.0,37018121708240039
1,核准通过,1.0,号,2781854112f29db790fcf2965c8a832b,,1498060800000.0,37010421706140047
1,核准通过,1.0,经营范围变更,62168e294fe1a5bb2c7fe4135e7c7ebd,,1502985600000.0,37012721708100014
,核准通过,1.0,许可经营项目变更,cbe432cdc81df015740987a3dd547ab3,变更,1334505600000.0,37012720120412000024
,核准通过,3.0,经营范围变更,16bd26061c50196c6c0255faabf2ba21,变更,1112198400000.0,370100164329
1,1,1.0,经营范围变更,58af454179bf3c0d334d68b89cb02fbb,,1516636800000.0,37010521801170089
,1,33.0,法定代表人变更,e3b44309aea736796ac460ad296e4cb6,1,1338480000000.0,37010320120528000064
,核准通过,1.0,注册号升位,a5bd6c33c04982dd26f688fce40b1cdd,变更,1208912946000.0,37010480
,核准通过,1.0,住所变更,9283a7aeb5ef8f52e19f73d1a64efc69,变更,1096264417000.0,16917
1,核准通过,1.0,章程备案,bd22223837bf471fb43306eeffd4a6cf,,1508428800000.0,37010221710160027
,核准通过,0.0,董事备案,2968b9261751bb0468b567bd48c03916,变更,1292428800000.0,37010220101216000025
1,核准通过,1.0,联络员信息,ac25bca35cd060e4382fba2e260bb88d,,1464537600000.0,37010521605240033
,1,0.0,监事备案,287cb1d0690d00454fa7a6123ce23a8b,1,1419523200000.0,WB370127141121000002
1,核准通过,3.0,监事备案,22a25f87615e1c26b69761c36004966a,,1474560000000.0,37010221608090080
,核准通过,0.0,董事备案,d27c485e800c830754c036179d60887f,变更,1397491200000.0,WB370105140312000016
,1,4.0,经营期限(营业期限)变更,73af52be5902940ddde06163dcc47259,1,1215312758000.0,370100175676
,核准通过,5.0,副本数变更,ecb5cfc41ac8c2c892890be3aab8e26c,变更,1415808000000.0,37010020141113000022
1,核准通过,1.0,管辖机关,6b16b226287af264356dd1d845c86b80,变更,1497888000000.0,37012721704190027
1,核准通过,2.0,联系电话变更,978af128fe77fa88e5fe07cd4eb71685,变更,1532361600000.0,129b016246341fc0410e
1,核准通过,2.0,号,b11fdae4502b1c8e755e3e4bb8eb14e4,,1495036800000.0,37010421705040042
1,核准通过,1.0,号,e09d42b35fcc1d2c18fdf8718c67d5ec,变更,1534953600000.0,dfd401655513cc843d27
1,核准通过,1.0,乡(镇/街道),c915268401d4c84e2c690414cb975daf,变更,1456934400000.0,37010321602180023
1,1,1.0,县(市/区),56d6a199dcb4354dd65a9fcd4b0bcef3,,1498060800000.0,37010221706050052
1,1,1.0,经理备案,c3733b62fb886ff15274ba30f9c4977c,1,1488297600000.0,37010221702070026
1,核准通过,3.0,注册资本(金)变更,3c586ed26954dc613d4a4473171c3782,变更,1458835200000.0,37010321603140086
1,核准通过,1.0,住所变更,6f2b0171fbd28eb565ba75514b1eb3c5,变更,1448899200000.0,37010521510290002
1,核准通过,1.0,村(路/社区),3b2020c56062af9d5cdc82deae99ba51,变更,1506700800000.0,81f7015ecb78de8347cb
1,核准通过,1.0,经理备案,98ee3be5ca2ffd0e069c1ccf46676732,,1492358400000.0,37012721703280054
1,核准通过,1.0,县(市/区),bc9485dc471197a0bc85edd0e6a3b872,,1476633600000.0,37012721609290035
,核准通过,4.0,法定代表人变更,5b898f9322852578d632a7fe752c8d42,变更,1361462400000.0,WB370181130221000008
1,核准通过,1.0,注册资本(金)变更,9dd128ee34f1e512c675acecfec66480,,1468857600000.0,37010221606280109
,1,3.0,工商所变更,1e203d2ce722a36f324fc146bba8f85e,1,1382889600000.0,WB370112131002000001
1,删除或者驳回或者不予受理,,住所变更,e4860d57c956538f73310c3cf889c897,变更,,bcb2016362f5b96e0ebd
,1,6.0,经营范围变更,89b566f866765d20e31fc4c3d95c9781,1,1369238400000.0,WB370125130125000003
,1,0.0,经理备案,cc5def9fde5220ed7018b36fe92d159e,1,1265212800000.0,37010020100204000068
1,1,2.0,市,169b472b09a682dfd76f3efbd45dd65f,,1510243200000.0,37018121711010024
,核准通过,4.0,许可经营项目变更,f0bfed92ddb9d21091b9ed822a6063ce,变更,1377187200000.0,WB370105130812000024
1,核准通过,1.0,投资人(股权)变更,996254272c5682d584a77cc353bd731f,变更,1534176000000.0,ffb90162b269606f67e4
1,核准通过,9.0,章程修正案备案,a4a4843bfd9e069695a0306b158eea1c,变更,1449158400000.0,37010521511210004
,1,5.0,经营范围变更,432fd1fff10c5356f5c45640ea1bd00c,1,1417104000000.0,WB370100141119000001
1,核准通过,1.0,号,96d5b54c4605cad2179ce1e0b29c6333,,1501516800000.0,37010321707130014
,1,3.0,一般经营项目变更,d68d50615775ec0824737640f4f4d90f,1,1276272000000.0,37010020100612000071
,核准通过,6.0,实收资本变更,9792975c08d726b93d0240062f2834d7,变更,1160582400000.0,37012711247
1,核准通过,3.0,村(路/社区),a89bac1aa5e5fe06272664adad1e3990,,1469980800000.0,37010321608010002
1,核准通过,1.0,市,42bdc165518f055b99aa9163bab7c5df,,1469721600000.0,37010421607110017
,核准通过,3.0,经营范围变更,d0529de145cbd97bb2f6733b798042c8,变更,1132896787000.0,370100113745
1,核准通过,1.0,住所变更,35ebac27ebd5957b796392e5426a2544,,1496332800000.0,37010321703290013
,1,2.0,企业类型变更,c61d59eb2bd6881d7f7743021029bc0e,1,1408982400000.0,WB370113140820000013
,核准通过,9.0,其他变更(邮政编码),917c8e7411ffd605d67e22d4ed85d7d6,变更,1177034779000.0,37010319856
1,1,1.0,注册资本(金)变更,6aad01db4a074b650d52d2a5aaefaa7d,,1513008000000.0,37011321712040007
,核准通过,0.0,监事备案,6ef3368b9890f348b46448c78ddbd2cb,变更,1376928000000.0,WB370103130125000008
1,1,1.0,注册资本(金)变更,473c9144bf5f6c574f703bc116417724,1,1457280000000.0,37010221603030022
,核准通过,2.0,经营范围变更,0d2a4d4569bc454bf74dbfbf262a5cf7,变更,1415289600000.0,WB370105141104000042
,1,3.0,法定代表人变更,f01db42c0863f00a024197d95babcb96,1,1245081600000.0,37010220090616000062
1,核准通过,3.0,注册资本(金)变更,ac9605cb06d795bcea8ef2204cbaed25,变更,1435593600000.0,37012721506260040
1,1,1.0,号,3cc58ed91079f9350b1d913161f5af36,,1520956800000.0,37010521803080019
1,核准通过,1.0,村(路/社区),c68301960dd2c765cb27ff120b501463,,1469116800000.0,37011221606210041
,核准通过,4.0,一般经营项目变更,22f407e82ce800a2ba13dc4da0670fe7,变更,1357660800000.0,37012720130108000001
1,核准通过,1.0,村(路/社区),ed60f1df7efa33a0fab4f996c03e457b,变更,1448380800000.0,37010521511180068
1,1,1.0,章程备案,d044e57361f54782548c7e2782cac01a,,1464710400000.0,37012521605300007
1,核准通过,1.0,经营范围变更,f08d4e7b519ae51dd2f0886cf8a3973f,变更,1452700800000.0,37010521512140047
,核准通过,13.0,住所变更,5439686977fa3981029de9a3ca20a9e6,变更,1208413726000.0,370100168683
1,核准通过,1.0,村(路/社区),c41e0c6678ab9abdca42270154e3201d,变更,1524758400000.0,35d60162b845d5117f4d
1,1,1.0,住所变更,2947e3aa48232493d73a0caaffabdf79,,1464796800000.0,37012721512150013
1,核准通过,1.0,章程备案,f8f0ce2d9af150971b5210d4d8155069,变更,1527436800000.0,8285016380b41a7b0e61
,核准通过,2.0,投资人(股权)变更,fd9ad11a47bc453ccb8456daba6eccdf,变更,1418745600000.0,WB370100141021000061
1,核准通过,5.0,住所变更,49343e459105aa7ea388dc3c7b20fbd5,变更,1430755200000.0,37010321504290001
1,核准通过,1.0,乡(镇/街道),94e4f71148c55bb3bf3172ebfd74881e,变更,1535644800000.0,b1c701656ae70d6b3a4f
,核准通过,0.0,换照,37a71a21f7df4b5b7f395f8eca1bc6bd,变更,1418227200000.0,37010220141211000085
1,1,1.0,经营范围变更,6ad842dec6d6d8963a118cc5991505d2,1,1427644800000.0,37012521503200018
1,1,1.0,省,0399bfa2919cb599b58293dc863ad355,,1468857600000.0,37010521607050062
1,核准通过,1.0,工商所变更,89cbd08a7c5adf55b837714db05f4634,变更,1475078400000.0,37011221608290052
1,核准通过,1.0,联络员信息,81f332f4a2b95960b05efb2500183207,,1492099200000.0,37011221703110005
1,核准通过,1.0,乡(镇/街道),a4e1885fdf3f6d2b2b5b6fdf47eff1ec,,1497542400000.0,37011221705260018
1,核准通过,1.0,企业类型变更,99f3f99591c392577ee53a974cdab647,,1513526400000.0,37012721711160067
1,1,1.0,市,2ec055efeaa0efafbf0f7677ec6d9faa,,1506441600000.0,37010521708240029
,核准通过,1.0,村(路/社区),a68973e4245aa236d2d9cb5a64e09ba7,,1507564800000.0,37018121710100008
1,核准通过,2.0,监事备案,902816f0ee09012f6de1479b5ea7978d,变更,1527091200000.0,9760016305bfe77e18ae
1,核准通过,1.0,住所变更,746bc50f68c6bd780e9fa316ee084bbb,,1495728000000.0,37011221705190044
1,1,1.0,号,a0d12651a79b2fcc06dc0432d5a3c51d,1,1528041600000.0,70b30163aaa1e87d49bf
1,核准通过,1.0,经营范围变更,1c416c5006f269a37f3e208e2415fea7,,1499961600000.0,37010521707060052
,核准通过,1.0,投资人(股权)变更,d9e3f89d7ba1e6204560ac026cb25eed,变更,1394380800000.0,WB370103140306000040
,核准通过,3.0,法定代表人变更,0f6e9cfdf41e937009c221f6512aedc6,变更,1342108800000.0,37010420120713000002
1,核准通过,3.0,工商所变更,a036fe53de8734f6c7e3a4ee37f9475a,变更,1528732800000.0,acff0163edf77b2002cf
1,核准通过,1.0,章程备案,2629a1cc288bd434863d07684e2fb49c,,1489593600000.0,37010321703060003
,核准通过,29.0,住所变更,9af54f72677e20f73a918a82866d22fe,变更,1198208092000.0,370100160103
1,核准通过,1.0,村(路/社区),e2289e4a34576ef768d3d64a4e3ec6a7,,1508774400000.0,37010521710190089
,核准通过,18.0,住所变更,d953a56dcee343425bc8b0440a4b7590,变更,1307462400000.0,37010520110608000122
,核准通过,0.0,监事备案,f20f131a740ab23455180cd56cb03673,变更,1339344000000.0,37010320120611000029
1,1,1.0,投资人(股权)变更,6fea0613bce067a87804ae9201c73f99,,1511107200000.0,37010221711080060
,1,12.0,经营范围变更,42f0f197c9baaaa0fca8848d5359dcba,1,1407686400000.0,WB370103140807000013
,1,3.0,实收资本变更,9b33913a79f98eb9e323c547cb6ba2b4,1,1156900324000.0,12374
,核准通过,12.0,投资人(股权)变更,14f21162663e2898e49583925e9e2c83,变更,1419264000000.0,WB370112141121000048
,核准通过,0.0,监事备案,92c5661573e636bade5a6b5ca21d4e85,变更,1421164800000.0,WB370126150114000004
1,核准通过,2.0,章程修正案备案,2a13816794d809db9ef76c98c30ce5bc,变更,1529510400000.0,75180163c9b6d1ae0ef0
,1,14.0,经营范围变更,60ff0c9f72a9431649cb6c6bd63f3846,1,1116290710000.0,zx99323
1,核准通过,1.0,经营范围变更,485c9fe1810c3ac832992a49846a1abc,,1495468800000.0,37010221705190093
1,核准通过,1.0,住所变更,2f45530fc8360900e1b808052b01ed93,,1517846400000.0,37010221801310016
1,核准通过,1.0,投资人(股权)变更,5eac50690e6ec25b77766a462e554b3d,,1508342400000.0,37012521710100014
1,1,1.0,号,e7f7bc7637c98d7e0272354e1fa86d71,1,1508860800000.0,636f015f471ef83d101c
,1,6.0,住所变更,9558477e0b4e6ae73dddf24a1b9ceaaa,1,1396540800000.0,WB370102140329000007
1,1,1.0,省,3014a7b61495dc16efb6479f5d0f524a,,1463328000000.0,37010221604280068
1,1,1.0,投资人(股权)变更,0f3b75dedba047f17e661dd3d33a28f2,1,1444752000000.0,37012721510090043
1,核准通过,1.0,市,faa1c1aa7dfed1b810c8058c282bcda7,,1466438400000.0,37012721606170067
,核准通过,0.0,经理备案,fadcf5630de4490a505f7d89882376c8,变更,1390233600000.0,WB370102131225000014
1,核准通过,2.0,投资人(股权)变更,60224c7298cbc721d9aee4b0e2fe27fa,,1510848000000.0,37010421710190054
,核准通过,2.0,登记机关变更,953b55d34b2fbc7666953a6616bcfcbd,变更,1179127709000.0,37010520657
1,1,1.0,联络员信息,3b792a0e8ae0bcf8d9534dcd33714f43,,1518278400000.0,37010421712210001
1,核准通过,1.0,联系电话变更,c1afc97e8717d44130056c1891a8effa,,1498752000000.0,37010521705120056
