entname,taxunpaidnum
c109ec4350fb7bfde2a3066888432fc4,1244794.49
32d342ba15269fd2a97271ce83a62133,120.6
d0e9c055bf530cf3b3cafde4a0072b08,36990.44
6b6213b18dbf47bc2a924feb9a389c10,759.48
fbb1f077718569874b7d069da08f2d1a,6737.47
0d3c874d68fd78cff5c120b3e079f526,301861.42
72ae4d08f229b048b2a5de75e5297ccd,11733.49
10e50b4bb7730993517c19fd52dc6750,361456.91
cd736e9fa18139fd6ce7e486c9c48453,600.0
f5620d95dcfc1676fc15dc8ff70e8c4f,13.2
7fd9e927cb6696931c4d90b53682ca08,56543.37
5b5c847fd5a2ba6d801c904bf98c849a,5.47
1da09d53addc6c994d3a13b143beeb46,788330.5
857c810810afe4dd89b8ed1b9a796443,837540.94
cfa31d43ef7c5532993d25af58f7f7a0,6990.29
bfbccc5884fc09b08c3cb19ae8d04a85,7920.68
3946fa377bbb5cc0f0e23fe84334056f,21185.54
2f8e184827947c47c57fb53963a6bd16,145711.2
016a14dbfc494b6a03991a65da3c8b38,280819.25
1ad26d7edf3351d218649e42fe728b37,1211568.5
fcf94c8419431d64b3c5bb13f86fcd0a,1363.18
63cdbad243a5f25fff02ca0b1e4adf26,167544.01
3c19f203421f1f86b121d52d20a20c17,67079.4
bdeea6b96088835d9319652e9fae3b87,2584.2
cacd2235de4749b7d0f81a082e171ffa,375465.93
cc76603aeebd67a7650821e088c1dbd8,400.00
7ef28d3bf9a5a82ce3ada461f27c3ea4,17988.72
ba44d60e0fb63ba18b5787ffeeab7581,4383.41
8bc97d80f5e5b67328f84d1ba9c75e08,1259.73
94a78fbf7de304e29d96865e243259a1,178.98
f7bf86345add6f271bc850c7bf6a33a2,"1,212.77"
5d4cb38e2fdf4d7d9cd8f3d708c3d13d,97.21
1c51b7db56cf3cde0a2b683870bc08a4,11854.04
c38e26696582f4bfd007f0197c4d9dac,9990.75
24057f034972e389291e87c8fc0e3338,771885.38
da696cfdfbe3fc38147f91c5981e1e93,35.0
e0d10372e520a3651e80c05f62aa29e2,14474.86
38930934fc47e78f9ace9d4770df4ae6,13321.97
56a2f8684d3f842f3190871d80570f8a,2395.0
d4c1b2bff1561d64d4c6b93397ca64c7,385633.16
d40e17c81ae06e99f096824351cee0ef,1926.79
b1f9ce3d96bad821592d1f4e64524e8f,79.0
52b8b7f00e78fcb04b506ba197985c38,164147.33
5bebc929a55057eae4a9c8a152c3f7fd,750.00
4b500bf069d23102b4789d3e07c4d291,366121.07
986a455822e6a7c70e0877e9a3113977,4649.39
4c95a731c3161fe148652303dda00eed,"4,877.97"
11cae73224b526b1f70498a123ba6b0a,88096.92
947f5d89d0fa6d1b85691b38662bd627,44058.72
3f026cfff6d5d0c78985ee56d97dd70f,300.0
4aa66ef4d187e497f99a246a4e336e60,300.0
5a2cc1f371f9570c7a276704eef5b472,240.0
f69934099114d73ba4645b0fcae69f57,1840.0
a026fe4d02e948ef3c1516ac1c9554c3,4571.15
65c9f4f39efa42fb02b3ba753d6b5d13,154534.51
6729ecef71f1ea9ba2f8189bf6537619,158132.71
7ac944697d0b6e2f29b501aee334d43b,35821.69
36bdb6b3350f44681a5db49335de0a2e,402656.92
ae6572ef34c95b5b606cc8434d854c8c,12063.4
65c252307b97bbde913a8ac6708087e8,5548.07
a697794a1e8dc959840178f88b1b31ec,6353.54
9d6f820ed0612ac9652b995ec60c589a,12693.99
12afb352fdd5af24535016dedc023a04,32830.27
be85749afcdafbf578923ccd931d1b65,159451.41
71271b444813044c824db5ee6a479905,11273.75
871eb895b5ae3d2d873c36dd74c37f4a,3150.0
3be82dcad4463ffa3d454ebdad49c411,396630.4
99a4a59a5d05c49ee300ecfb50ba3e8b,409797.84
1ef735bc09db4b565e051739bee4f6e6,35964.84
3e27728fd47131f260d135efd17395e7,176843.49
ad07f14f9af5461bc39f6582f0365c96,158521.33
94844c04c61c3b740689d3fcb12b43b6,"5,021.57"
a96bea4a4bf68ef5da87daa331a57467,"21,632.64"
af1627ae2205ee0bada08d18aa99a2e6,657.03
4373398e00d8b3c9a4289dca0447cb17,90.27
4d4e990cf7699bbbb57ee35edcd5ac27,2844.61
cbe33e65b6b6f33df1060c1daca5aa57,1372.52
a00ca9e23adb8ac17859e57c3356f4df,412985.7
3f6146cf51b2ea7477c3a8deaffa4308,163172.39
f51201f9a2880e6ae4ee8510a2f45d16,7.5
344c5e6d9a51133f41c37be5e92ab17a,302.8
6e7f3d3e0b61c6a77d615e1d4b7df7d3,827.4
b254630489ef131bc225c2bc30b15624,10436.77
1d8e93b07baae103b8bbadbbff21a6c1,153287.67
d0d6810ebae86a0a410f5e7c2c1ac015,27000.0
1b6e9010fc93f39e049f6fdf878a852c,213.83
c06e93c8053ddc61c97fce5bd0b8a4b3,500.0
dc7749704dd9e71928107881d63e7f20,164466.43
91989b5ba3d9b1333b74cb57d5760a5f,649107.41
d4ef8e800567792ec05638dd2ba4a78f,169564.0
df3571ebdce53a2faa62d3157bf74619,30.0
ff2b3c1789a3cca036c3b1abda6190c4,160382.14
7701c73396a0b8e6d5fd7b95cbd49bf0,7143.54
6f4783c31ef79e4ae3fbf5021913c781,3168.93
9326e89a6506ffd2c7671fc81c9251c9,159134.14
87f5a894f255a4a1cab17fdeb38e69fe,419131.62
45f4946b7ee85159ae4f7b0594efeeab,"383,116.06"
5c7422174f56f5570c01c4141a645f35,261.17
3ebb40cde8d674dd4da13839868a898a,1908.76
9528c86bee66f919a0bcc9270c7af469,1500.0
f3a82e69dee2dda069e1171867bcf2d3,411.42
7083f79b5dde9d398193b80f9c94de9a,1821.26
7d3f0400650371e057d78d4e6e2254d9,76.81
f96ba5c6dddfc144771c914b30c702de,767.17
e66391b0f3011179d80a4af83470c66f,2856.23
8c526309c881c0645d308855bac2322e,"5,384.26"
760d18fbce49fb43f13cd453d65b9b37,4851.93
15d2a2dbdad940959494e08f3cc5a57c,"2,324.78"
b12325794a1693335170efaed539c4f5,72.67
a34d2d3f932f51abe93f1764273b0316,"413,424.65"
466aececb6bce74f891ab00eab8936c2,750.00
a86c6436f11cac561fe72ed442ffeada,17936.65
c88bab628e5c9c1eff11f1f083da299c,143500.39
73af0c597aa4db4f870a3d8856d3d945,4711.28
e3cced6b2fa4417fe3f62f7242dfa00c,34456.47
77648c9618325a84d0f7c7874b94eb28,1.325976586E7
398942643f7466e3a7206a2e98d5e577,9768.96
3f464b0a093586f5326531fa4cc5a3f7,18888.93
3135effd433c7a67a7d0c29ee06ab75a,460614.45
c274fc2438724b20b9973516443659e1,768.93
f7ed0786742b139a3c3111d2eeb92610,4730.09
213bf1e8e1f17612663b2de8dbf19e16,15926.4
0a9dfeea42b5e27e7b9db3b1159850df,415.87
1bab1f7ca401b63cde3914e8a3a84f3c,7.36
787a71ad40b900682836b47aeb9b4de2,16104.26
0f2dc5057fac25f5bfdfd5c3bb6f0544,5195.54
988244f9c80e60b0ce706fe4bef1af3f,47620.92
c5baba9054b8bb1e6a4c3f06e9c043e1,990.29
245431c614acbdebf867544d15dddd1d,"239,075.81"
4609646ad89a8272067b03d7187dc7e2,"1,075.00"
b1d2792231340fac0df0ad89340dc0a4,"40,061.17"
1e78e147c02d6cf9f676b6e50cd5c48d,1201955.58
c33d656f68f3d5e85649c71c8be3c637,300.00
d24d79a3de9c91cc673f2c4f3c029666,179.59
c6870ea53e33f9ec1ac4707db1b59a40,1089097.17
bdc421e49b84237271eb9d5fb0f4f46c,601.0
c94912ae70a22c1d4f4848e708a26be9,480996.73
157560d76043e50494d580c1d120e886,4782.96
d1b87bc4df61feb4bfb04e9415b875dd,286.0
6acedf75984cd459c50fcc62cf2a3a53,634.4
9b7ac000f11967f258a61961b05e6ef3,779192.71
da88ac376910cf782bd65bfa6a8d2593,814287.28
12e4539267ac7e1b1f6a2b206f74eb2f,3.49
a9240de46ca3a97adb3ff6e3471cc370,4287.62
aadb4389d0a1ea95cb056b39ea124407,26616.54
d625f3a1c70636b9186113e755cf9129,476319.62
6934ed258d4ac625c9bac14638d52724,165188.82
bb3915e4b0592a963956f465262561d2,2580.0
0e4e1fe61b9b2f6a0ed992720648378b,6306.77
80920842c8b7e2d3e69f730815b00a59,"1,075.00"
ddf0fb51d80b096b2d415d65c134b9b7,2247.92
8a9354f5e400c30975fd98242ae1b06d,1849.49
1bd889bedf55f3024adc5634bbd09f92,68472.16
1df0091a6f709ec1002bc7333126afd6,238877.29
12ef0632abb2a323c2abb304a01fe5ea,150.0
a2bb141a8ddf7a25b1b62074886cc1a6,53.88
739077771ccc92734fed8111d97e9d7a,108087.13
52756819fe4231b63a7c2c7bef314df2,3683.44
f31d8e9f68b9b0f33dd2b1472a711bd3,187.91
e1d4be86e4bc5098d276e7a1a7be6463,23550.32
33e0dfe447d8dc65020bb9839ae71330,11794.15
c02b0f7702fa006b5039ed603ae1303f,1697.45
e89fcdefc29613cdd6488b1a39e4ab57,303931.04
0c83e226128061a0b6f1312ca9111374,3804.96
8bca18d0e7e5229e682487cb57aa40e6,1167.23
fdb6bc6601dd6555c3f0b9d8fb3acd2f,"405,591.20"
bd89e1aa56792060cdf1aac078749418,"808,310.65"
02cf124d99d09ffb60f7b55ebbf357c9,100.0
f36c3ed44b4e08af59204425f311355e,65437.29
b4f915bc0d95fbbfa2a27b27d6ba319c,621.34
b3bd30c217570539b4dfb1fd60235973,13009.27
30f165cf663903c277a9753e02f73ae5,14529.9
5b0e9dfd42e54b2b7d77d490c255ee04,19057.03
77382b0d685810c63d98972af09347cc,737359.32
0ba36e01fa46b4f4e327da0c6b85c256,786906.6
a51b261ed86839e54b00c73187ad6033,285302.13
2f5ac37030f708c3e2aa6480b0afb737,"157,252.04"
325b54790db31bdd7fee857b197eaa50,10985.0
e98470f8d1589aaab4e88f5abac89a2f,33994.47
d9a7123d23b707ffc60ab697c3f49e7b,"740,673.03"
8a6c7cf47ba7ffb42827c09ace079d4c,"229,916.86"
45de4eb499df14c87d0365d3d0762f7c,"8,850.00"
9473c06f55ee93e67248fce7d492520c,21794.87
72f20970385af7f6fcbe92268325f99d,800788.83
e8c477fdbc416dc929dfd2642189d9ef,155127.32
b41323c2ad7309d9bf585258944e2324,500.0
3734aec096637f40f5b70e72ec4405e6,126.51
beb5036548133ca208a57bd3d2ee228e,"45,191.39"
95e02bd60e81f8ebf45818b341aa4079,3352.56
efdaba07676968ebb36438f8f52c0b75,1064.09
bdf09f01725be1c1600774f5b430fa00,13545.03
141fcd5f27da714b19907f8fb00fa1e8,795.88
bbd31a0e223b59cef557d6c1be06be6a,122.35
377f728ab6cae6ef478b5aaa69a4cf7d,16978.43
411cc3070cb4819752f80cab823b83a1,721.54
cb9314f5f0be2751f6bd6dcd2e492672,60432.38
67b7d2edd35729e060df78bf54c63338,4004.78
79632b6c6f9e49750a93342edcb83839,834167.1
be02db35eef2f55af1555ad9b1ca1b93,316768.42
9c0252f6c58a8b7b6309c8c33458d2a3,2156.42
96ab358bd306f3e125d759394bb5d95a,268594.62
c78e8a94d25f0bd29ea12bf280d6c4d7,1275.73
61579f608f34bbf4536c8b6c13a42c1e,446407.41
f83f55b66de4cf9ef5048d2b147ae5b2,126.36
cefe6a7c958b2cbcaa6e5bce9b434062,153073.75
c5bfcc233cda76ce0f69cb4019d9d6e2,3665.09
de027b1e3f5ed05ab7f571c2f38283e3,2545.17
4ef701d1c9b0837095262b1122b3d048,"17,475.72"
a9e9d334d633372b543a1238eab3ba58,989.34
dd3f81cbe7137dfeeb33faaf3d84d6ef,3285.41
784e6ac2def0f5637812462a88223943,18510.91
07d8c01cc7840b4fc8105a9e5b8c9f88,600.0
c6301f7d7475d9dc956705a56967a43e,150.0
4ac7671ea8b7db17d2470cdb3261929e,5024.86
a6bd18e5d8bc320c92e609de7f1c8360,"1,200.00"
c4f5d8233616235ae28831cd5c5a128d,141487.64
337bb972125dd3de76aedf69da7d78a1,169854.7
f929e3c24a9b3dc5732115f6c16a88f1,8815.14
d9122f778adb98d57e9fb12e4a95f8ce,132948.7
ffdc5b4bfac05ab98361f2bc62d69df4,"58,960.12"
13ade77df1564cdb2ebb772b5476b224,1355.71
f2df80e23982e356a44bc78484d31e96,320.0
b165a41bb2838518e1bdec431d2b9bb9,254.1
c571aad840ffcbceb26937710a7eead0,13599.69
0c731d70430144e6df86223384fe0d82,48029.84
02bc7c80d2740c828ef09907ffd0f1de,623.94
6c05e89fba96a5361a62233f26a7f385,1392.62
c2a84545915939224fb21ed676848c1e,2165.67
a076f7bcd78668cc18aa378e2bea7753,427.35
96ade53421eb799764a1ae02cae9f19e,10.13
b98d540bb1e7a1b4d833c2cc88d028cb,287714.59
08a7d26d2556705bc55f02782858c863,3918.73
efca94585d31c638e0604cd47cf0400e,2165.88
7ba93af6773947113153c81f856722e3,150.0
61dc17d045600be02c968d2b829e3a2d,49394.78
6ceaf95c1b1cd825d22d8b9a17fda31d,0.01
58d9b6c5c3b3c80ca9be2fda8d1a7173,169557.69
a19b78a87209b7fcb0f3d753bbf19c84,8873.11
53e6c7ec16cea0dcf8f38c05c3d066ae,7992.4
2054ff42d2e93c76912ce77860d4edb8,123962.65
abb97d404dc15b4888f74a9d6e943d4a,3489.6
997eb54564a2315ac1652f1797e9e1e3,3880.72
33f4dae352756ea73d54541657400b06,20451.26
9c162b40222f36bcdc0f17251329d3d3,9991.45
f5544f6d3986b0cd6f06dcb11e3b40b9,316665.72
ca91e55aa8643ceb47875d6bfbc94282,3550.03
e687311ab149826edd7f60d6ef46f576,980.39
6506f047e035ecfc042182945c01de53,12356.02
5fe86d36f3c7709acaa7433a4b5c7952,13988.91
0d87e9c559a494108e1deb2d8c81e11d,750.0
be384af2522939f72b9e4bbc7df200f4,"645,248.66"
1ea3b102fccc9d89dc8b17d2e341eb7e,50927.25
b00e6b9ba642f7512e2f91d71bf8e6f0,24896.52
ddd58fb407c574d1403350583cf39fb1,282362.67
dfde87a60a562993352fd25b489d1d15,1204838.73
7cc6cb4b01c0fdbdd999d9f38cac4ab6,42246.5
5525f22de4be9251977f6d5f09e67748,1236545.22
d130f2853baa8bc9a791b35b47fef661,10971.35
fb4448b19a7c544fd9fd7db12ed724be,274151.34
8233fb0e096993bcc499dba308557084,3474.45
8c4b53b7c269625098235651b5ada03f,414898.69
965273e14e70d9074aefd33a413acc2e,16225.73
ba5d6d1629f6aa1097cbd5ccb2946dcd,915.0
50e9a6d1a355e908ca3fedf3a8a9dff9,480.00
d61c5952d42d79f32673ee718c4129b5,900.00
dbe369aa8fefdcff2157a4cd489008cf,90.0
e0ae4678da02d3520103e75d61a8d392,120000.0
052418652efa75005ce38d2f0d794193,7734.25
f7e47598bf866a38db149a883a328054,9526.45
3063a8d34c40ef5c44e4c536d20db5c7,13900.0
1c8e6f67d7c8f81a65915e855e937f98,242.68
2da6e8788d1725e241cd85f8b25ca76a,1405.04
7c03b889b4ba44153ac3c4adf38c6242,596705.84
e8be8661f54487685a41d2d51bf6b8f3,4077.64
c51f502598061548046b85f9cbe55dcf,"19,274.98"
376a1a82c3d28a56a222393966379a20,453.06
5872dc48175c5fbdcfe535274d5719ad,3895.25
ff946afc124702c7c1345bd12b75f350,37.23
2091866fab4d1aeb92f5b9a94e9ab163,133.28
2ed7ffa95e8736f2ba5b59ede0d4b157,843.46
d578f002ec935132609be388048359c2,510.72
c7d034ace56195ceabd7cbebd3a81bf1,174.0
774b867bc306d2b22a95b4f2ee1fe06c,2714.56
f981de64a3e7389b073b011696a62426,9806.76
d89bf24fc6ad6be504e8dc76926f7395,32487.52
3669d704e061e2c4ac04210cf3375db3,21446.24
016df473c61ee7f21b488017d629f4f7,313254.28
a554e770ee3f98ec833a5dc879680ff4,3767.84
d6abedf041cbcd92a212f5aa231a86ef,212.0
1298a5ab40b055f768bc7b8126f896e1,3770.72
683136809597c877c33fe76c3d47854f,262.96
530a9b8e83a4a096d585d196469c3958,229348.32
be8318fc7120650f60d29d7aebfe63ad,127.58
995f7f998b0dc2a2e2371631dc427a1c,339687.89
f2459cb62295bb33f91a9ae9bb7a2b66,401695.32
aba0bdef0152244fd1359a28cda9f25a,786.41
70aa21fe609f92d19adf6f179be82cab,5186.62
d33af0e2f1f7a8a746bfcc8ed73bf435,"951,843.08"
b53aa30b9273caa40ec8c37c056ddd1f,5707.35
7b0b045227056f06eae54d9899b75dd7,"871,801.38"
24fc3187c1394ceb53e8c32353465474,22579.65
cfe69efe20b5276dc23021ebc7f6fbbe,"3,632.72"
eb68f6d23755936f95ec9cc357a7ba7d,163801.27
19c032cfdc333b333d28014824295d26,54573.35
c38ce613f5a4d1566842557dc73a1460,115400.55
003ef0a7e75d860b253863ec90fb62a6,25186.31
68d8fd169ac6df462a55dc5ff3c27430,5172.47
94d09f78d044ed486225d677db70a1be,20450.42
e1089f9966982640ce33d4b457f446cb,1884.95
