entname,branchnum
be6cd8334d5caac20fc998c87ae2ec8a,2
2d7e7cd94c5d795079dccf38ddf98529,3
d9e307b2d6ed877d37dcd6e52a0cff20,1
ab3397f83d3b612d626ab74b8b48635b,1
b7c61f0dc838d6f1f6c31b38c49be651,10
370496b80e21a227ad24653cd56a00f8,1
0f30b4e366e773e2bbdfe4be761a2065,2
2f7c0db65f279004c99dc44c145eb619,1
dfaadb952b352df0f219bd3fa6479065,1
1a7ea0f80e1cfbbf315d040150fbbfb7,1
c02963274f0d1bbe509c5fa295c8ee34,5
16bd26061c50196c6c0255faabf2ba21,1
377d787a3d8fbe61dffb26f722827568,1
f28b7b38b50b7678735594d10ed4c04c,7
fd112b6ce181d7c40b1df6873f42d339,2
375d82741070d6b3e2be1eab4bc24423,6
51bbdbe50b3e85b3a23fcc39e4d0754a,1
9056e68b3c2ae1057f71584a7fca14c0,1
fd1c6d090dee6e71ada6806c4c17b48b,3
9d4146dfebb80415c8455a9700b7efa8,1
