entname,qcwynum
6219953f712fba82fefe36221d4236bd,7
1508e0c641c18351f5c441e0214af839,4
b6a657e8fcc698acfc29b463d5d0dc16,5
ca850cc827a680b2466c92da891ef617,6
5dfd9f65514ee301a20a7c66f41c382e,2
cefe08a514397d3223dacbbffe456179,7
c8cf40a3fd32d6ad6d52a6f186594972,14
c82dcdbab90da673712453ef1316b7a3,33
9cd0676c4c8cb444b6624c5436865057,4
f0ef2dc1804cc50518080f383e2e986e,53
c75e0e77e8c6fcaf36f2c82e0b33a4a2,14
eb498185d57c4652a25cf998476248db,6
58594c20620f3415b6ed4ef6836fe9c7,4
e2680d5bfd5ebcd5e047059783ae6729,3
12ea2ec6f5e4103492469918ab337ac4,3
03f2b324ed05d2b6efabb2dbc73f6ae1,4
9ca65fe3eb9a43e81bc0b6b1a99d933c,7
3a7d29fa88ee1d8709af216a8aa84ed6,3
bb4269059faeca7405ae668daa719c10,1
365aeeb282c36070e17da505bc54d137,6
bf2c55338fa19bde5a2ad858f48c9839,21
dbf731ce270a2c1d48ec2f79fa812a73,6
9bed5570cb340227ca117c96e57a6fc0,57
4784498acf954f4da2acae442e72a1d1,2
abed23ee63f3f9556bc9880145059795,7
78a78aa36d1210d9d9cf49e0d4007d9b,19
2b447c32a43403f9e62f6a46e2f312f4,5
c3d46fcbbb31f6a6837e7712d154e1ee,2
cd6702873199a7b927922e3676c635e6,6
cd49351a404962188723de787937ab6a,6
1c4937e8bad0a835feb517b56d5138b0,13
346a8acf3f0d8c5283311f69e350c890,3
cd642a01da7b8d957da27de192929701,5
c740b73cf9a1547cd23384d05c37044e,8
8ea040d5fd3d26c7c415b44f0647de0c,2
06be0da394bbaf3e97d565c3ad635877,7
107e28c0b7a74f614b666f9d073197a4,10
00d051ed8cc06f9800e5f3c98f09f58a,4
76a3cb1baa97aca4de40a6f0d102d202,10
c68c19fff5509f984228e44c7254aa9a,7
f8d8c595901ecb8fb33b545c3f9883f4,4
3dbfaa1c859c34201068d2c1c467c06b,19
4de28e3773eaffc0670c0c73757e6091,5
5ff809075c03722d21f2c496b1fe7037,4
141d6e5c3128045761e81def41b94368,30
38cc68e8955830bd0b8254b666b250af,7
ad23870d742fefe8cbc27df7b5a0bfff,7
dade99bd65e8467ea7150225fdc9f6e3,217
e6543973b932044523889bc2ec66a906,29
8eb2c2841f92ac60b12a74cf1a928240,14
38c8631c2369148f4ebb69397ee821f0,23
a90e9c3778faf347dbb4ba666abaf5bf,21
9e9d59c1a577eebb7b307adbb9df835d,9
0304cbee195834bbfe5f85e6c95e80ec,6
255120fe1feac5d172ad1635cb6a183c,2
6ce632e5926ed31ca8c102ca89f8e4cc,4
2c4d436c23ea61ba01ee3244b7e5cad7,1
7b321e9af798d416b1177591e4b5db39,6
9fae0206971e402c5a2ea70614ccb2d8,10
ce7666c91c2ff956b3d942c7cabc85d9,3
7015d77d32aa7b8a24b29cabf0a0df4f,27
d1318b1a298e11df76e9eebf3dd40e99,8
9125a5a4e914b74b28801b3c0ee2b22a,6
ab25d3d1153628745afdfbddd2190a9f,8
6c7f72b99cf0dd3e51f0038b2381ac76,4
602dad5c19a2ba81e6347bd82feef4ae,49
beb203524baf42f4d9427a05c9f58665,34
1be37f503c50b6cfca86a65d0b7413ef,9
b03da2bd64020b8b25405c67f7586bb2,19
02d43229080ff748eb5d94701fa60aab,55
229a92f7b207a2e50ef896e8c1bad854,35
84344b238c5ee6cda2f58a19530ddcf0,46
06c69f406dd0e6b152a84f7b9449dc6b,7
2233d4c2bcb0b947786b4f52ab1f3918,13
cdea60eeb52bdd8cdba2f79868a61002,12
de6db17db041337656c5c54af59b1bfe,155
95ef716dbb3c92ab227a548e8128d6df,21
392d8fd12fd1acd8a1b73d914e835679,3
6a1a5a161ae9ea0c5dc233f5677aedf0,27
0c7895e82807c9b63df58937e7eb562a,9
01fc360d349f717152a7d433833f99f6,17
7f7d86213afa570cdd005eb379f03829,6
a67addbad78bd4d657fd5a64c6499cfb,12
191d33ac90541e6a7a15aa62bae4fe75,32
16742bce1ba401eb0660d0774c14b51a,4
d682a9b4c32494c9dad7ddec33cacb47,6
45d9ee8374412be7c590e56d445d5c00,11
cd003b1fc7cd0a11d2348911cffe0875,24
0d69b186c187790ee34ff03062108ba8,43
5fc881338fa7689e86932484333a4c7e,70
5ee5b4ff9946bd1821e65855c05fcf22,6
37d6b88318a6ab3e09a8a1eee5e338d7,6
ef0f333b804b669adb3ed2c5ba2ff27a,7
b47b1c9ff4048188b44132aceb52cfd7,6
8598270790f7818181ee6d7e895ee187,6
da1a4e734d56c17ead804f30e951955f,8
a7b230ebe93069e85930296c39d7611a,2
ba3a8e3e971d2d3af382fd81143cb04d,43
23c17b3b6142e7ee70c5fdac00f008f2,8
46b86d0e0cf9ab063588ddabc904c522,18
601537e5e3c828c9f4f1690f50af883a,20
5f9adc3a819b0e31fd06e3bb47e90334,9
12b294be61d41826254156e742fc07bf,10
030526a31ddd4279aecaf85b19f4fea6,18
e9562566b833c35a8ac5ffd4d56b6b80,16
32c512f544487bef38e54eaffe92c2d8,5
a2996f30cb73c98c806a4f41fec2eacd,27
e80e60988eb1bec62c117f4012aa5aa0,4
1c6158bf08bbcf8a9f9bb91229cb24b3,28
c81c94d2ba693cda17775421228ab43e,4
d955434963bb7a334b17253d57380f3b,22
cd009a71de28c71aa9601fa05bf99280,124
a0c0407b365820294c2d310b030a70f8,18
776797de2922f5b238c356101a40e76e,12
1bf514106000aec6ed45eab5cdda82c7,13
16fabfa5c6f6d172ce526c93cd57e8eb,134
3c7c6f6bb720cb691a2c1b9745a4e668,29
417fcf932e6dc9866bd8bd30dcbc9a07,48
c9d97c381a56ae5a61d127cde86a2adb,6
9ed15fc506f66912393d833fba5b5c12,89
aa60ded59c59d6210a319dab046184e4,16
deda54f4a5df777199393196bbcc55a2,43
74118cd1f6f7badcced6ffb116504269,46
94165fdd958dae97b42c0ba0e9ec9f2e,2
010f094cd0ae1865c1b246102375dc89,42
245b44b2e22951011a43bb876b585c25,43
9c6db893967c8de60561b4fd8885f56b,4
768a79100782ace08c31bc0aac8b47a3,20
1ef155c3c1d368a254d1226e7a6ec742,102
f362c47168dcb8bdea8e2b82e0c84096,11
fa8aa19bd498b4b24d9bd65405ba2024,10
ce7a66ebf940f304e17bb1ae82b2a65b,35
9aa220511c49ab024fce07092fb19788,12
33d5e7a5963c31c87748f9088c8e1066,26
3c88ce30fdce7f707b2c51d9fd0166f9,6
e4ad231ff1b0d8738a932e7f88b2b5a3,20
9860932bc06dbeda4b978f0e25aab7f5,29
34c0a7c98ca7dbc4c4581d7711e70da5,38
8f6a6438eb1657ee4a3dd5592f189515,20
49e839acfea1a02ac2ab6fc692246ec0,79
640bcf40c1bd16ffb9385b24fe147588,137
84d1bab69a242b91de40f43ff3f8be49,13
fdf17dd5c8adc2c2eb2532e058e76484,35
82294419ff27c373973a7d0a472f61af,49
e5e704e2008aa996a37a479d2dcd5272,6
9976dfc4de5df46c4d7212831a101177,30
b359f35c0f9f3c9bcac83b7f639d06c8,29
ba5efee93c0e2fec3578429dff5fcbb5,16
553ede5ff2b59623a30255b5f14a9913,15
aa9dbfd085cf4374ae269a2bf638ee65,15
bed62ae62d2587c54d96ce5e1748eaa4,79
2a2bbe0274f9b95841166ee3e4b3444d,14
6a63ec4545e4fc4b88dce3aef8379a2a,17
7a85babb04c3881f10092a8678762d33,8
74102bf2d4425cbad170d3c1b43c7415,16
983d4cae46ea613d7dff58190af52a28,28
9f218cd78b74859f0e3ba3ad40697149,23
25232f3f899b3f633e434a277f0bf935,25
6ef95c121dfbcd4a74a09359d825560e,44
0031343d9d706da484a825c1897a4617,27
28688ce39d6103d0c512575fc807f1e5,5
bb19cfc2d2f1d0b840034a0e262543aa,8
40f49b1bdb72126f65cd0ff7a4d0cdb7,10
49b60b91349f5c98a7d5302c64547844,21
849b9f51083d2c5c72da82e9fac82f9d,15
c3df171b9f2fc96edbfc2c426d215602,21
d425e480709f96b575e98f693640975b,19
e739833c3d3672c540f28850212c5a13,9
775f36677033f65673555890c6df5aee,13
b15d0e10817d46b8981f1434cdbba17f,28
fb06c927de46874c2c0cce2d3a0e79d4,19
5cee703cca3d79e2dee985766c2dcff6,21
bb94065879792b96583d62a46dccbdfd,22
1984d01ac2ea37753c76a02f3d554a27,7
406f6a23f76cadaa5697eb6a1a6894bb,19
9960319a7a518ab5142033a21faf4e6f,19
18c11cd5a6ae49231b5d87c167e51ad8,15
8d1c61764c76f5301bed9f215eba4d39,10
88461256ee476713847a10d1de5a8b2b,11
48d0d816c2879b143bc6916fa5c144bc,11
c6d9ba9cda7bfe73140ea456675b87b6,1
f6a6e9a05f03ddf0eae8d38e1bc0536b,27
a8846173adf28439afa6b2085d9f5424,16
3c57d8d0fb90540ea19212ec63bf470d,11
19b2efdc196618f7aba28b2958c48b49,6
ec4d55e73bb1d56018271114f4112455,9
d60117056ee1ce3cae02a6b0b3a32430,4
9e2074b3df2f8f927caa3d75591a2772,10
b7d7343e3a58d42bbc587af106821c58,3
6c6a9d0bd26ab818dca40e91ad8e2f7f,18
8988081ab2f78dede0ae0205b62ee64d,14
85d6b1b1139e68412eca6e41c038f083,13
44b05eb61b56e775b383d08745efdb71,9
6b56781fce8f444397f7dd15ade25e88,2
a09ed46251290e62c01df0adbd6c917e,9
2240de18af5bddb6e6a8129652fcfc03,2
b99538d8fceabb0662d31d1457a3b2c0,5
5646dfccb550fe7d177f8b9e17e7a122,4
d9e50fe45668d6ab02da0230a84ae6e0,7
624576022226724286d5f8af21a5bbe2,7
16caf84edbb1fd588a31cf24ef897e52,4
09bb1c9615ece493da58003021614491,6
f1213bdeadf7750d01d4f273f899477f,3
09d919862218a496243296e841314d5e,3
a62dbe3d4cd2ad80e2b602d528bca594,4
d3b1b95295dee922fe47a192561dfd5d,2
ea41914d7b6a79da6d1739a209d4eefb,4
3d7a782ed13aac39040bc1d838cacb1c,15
7d637b055df95a703ee847f5e3540777,19
0f827358a9cbb50079510751da21ca6a,2
73dcd367a38767ec261d0d62945525ea,5
db4a2d70a51d6385bc2f3f9c7c8f53cd,4
e77b9145b435871b6e927912a3544383,1
5cda796e9d487a6c2f85c395a1e47718,131
2110457adbda3d72b3d09d0c6197d059,8
c774ae58e9b34a44ca11e359bb48533b,3
9044197eb8c73fa87fbe781ee9c9869c,67
9cb9edec898ac84b7dc0e3252e5037ba,1
4aa8db3c241721f3dde53176815d4235,11
d4446d8783cd2f7a7dac8ca3626ccc1b,9
18ce932e2cb1ab6544a2efc0673e890e,4
0c7b71909de105a7e4085154fe74f0f4,7
47de2a0626d4ea12e90570a23e0097de,133
a1c50e8c392fe081578cc1e6b34679a7,1
44059b9c88408e909bc7e629f6b7424e,6
351020e297a8ba5a1e71467ab97639b7,4
bd2e975515860aa7d9ac8fc049ebd44a,33
a55e2316de7f9d84f21dee2b629b11cc,2
716febb9b15f880557a97418b0cfecba,8
f16b255bc74eabee4a9b74acd0d4e85e,6
c8c1ac657cd7cb8d95db9d728a564887,26
f98561820ed3f072691e2609ae4cb503,43
7c35c740435b387dae0057818fd13151,1
56a42138be222baf38f5dbfe8f5393a5,48
326dca20c6622cec4a117b1ccb893131,24
eaed5ed0f4db0516e20ecbe92e49c20a,4
b5721eeb0ba41b99002b8747294dabc8,2
b492e375ebde5ef111eca6296bcf0586,8
6f36acbd1152349dd270509b0424f223,106
cd86a14f8247104875338dbeec8ce176,10
8ae94993f7c6ec77e6a9ccc70203c67a,9
32b03c8568913fe31e2f05ad131fed65,1
5ded134d6f962a32a675b28388a891b0,3
af7b968f90f3c24ccd800cfee1e9be89,1
663ff6462cc64d61be99e9ed90dab964,1
76a6091c9a456c460a3706916692bdd9,4
9bcc61123c0deeabdf469b17a1deeaf1,2
2b0b1e50b93255c46cb2351f33d9b680,19
a72dfdfbc695fcebe0e441cbe5a65bbc,5
9ea4e5d58eea08dc49f47a0cf4a7e162,3
ec73c4c90ac66135588190616184da8d,4
5d1ae6b286fa818b73e6e97f12a71814,6
650461b4e4655bb637d5de6b242602e9,3
cbdcfdd388299e5cfd118fc79b02ed5b,2
d918c117b72ac2fdb2ba143ed6e35c64,10
508f442773a19eca02bcbabb5039f45b,13
1ca4f59d920ce15841dfca1a7a611a8e,14
465821d2996408a60d11d79608b881d3,4
8dc3592f07911f5e5484294578250d78,3
7f1e6669b30f35daafd63d74d0b8a4b0,17
c42dabaf5c91e62c84ccbead793a8402,6
78e31dd88941fc63f19dfc7d9a2a8909,50
1f1e6fd7885c7a530e0770e6e6868f06,4
018a61ce4e50a7c94efaa7842a84ceeb,21
c76999bd1e9c2ab37c582923a273e36f,2
4660965be686c4f6d1bcf95b1619845a,12
5f3581789d8c4a6306c7ea0c4b5e5fd2,43
2875455e717c1486a0089f33c6803bf3,26
9bc32754268ebefd239f6c4668700986,27
6dce5aeb60928099ab28390dc417222d,2
e6311f1b4ea898a3332729439f1e531b,29
87ef4c976aa6f910b56bb385d9f9481a,7
deab90b45aa7d23a52ec2d685b8af64d,8
f0411253eeb4216f07e7da024d289e09,16
8830b3dbf516f88d6964b041a3f33452,4
159afe10562fd1a1478724ddf5ec83c0,1
a1d05e37ec317228abdf2ce2a9d8bae6,2
f66e110541cb792c9060d211ab34ab47,7
d3bdc794421693074cc6e12e1d34a830,8
7a23a1186e725b4d8602f387f6e9fed5,8
c7a2240dedc76e090bea9f7b8f98370e,4
a7b8d9cff583d75f1b15db639fcf142d,7
6c501ed7f54b3ad8bfa4cee8e8f4191d,5
0b54ec0a42f4f1415d809f0ae11e66c3,81
529f0615b82a1d9dd0e903fa9b7f4187,8
f19478e1bdbb9292b39878f0251dae38,3
0f4a7e946be6aacf4054bfa1365d0d7a,1
dbf745e6ba8cbb5ce9b8e0c70ac1f923,5
7c1bc0062eabbc27ab1e3ee97b00729d,4
8f18ad7c1db3b94d50d0635cba7cc606,5
e538bde78673cdac3ec6f6bc1e90f526,24
e07b6e524a1e2825d55e2beed5ed5bba,3
cd79d27ec7f2b394b69aca1101686365,6
374efb4d718a774c3cdfb131b449257b,10
0de07983cf8c156561926e8f530dff75,32
c6ed3919e19fc407f8660024b2da82b3,2
ecc588e084a8bd06e4356a373bb5fec0,1
26336ef11ea992761873684aadd82402,9
c4baccae95312c3ccca54a1951e20dc9,1
462640f569181b3ff83fd8b05e067611,2
9580d72dc07165db22b7cac194d57eb7,94
e859d4d4dbd25004a01e88e62c11388c,2
77b6fe11689b99b99bbb333e19778f07,37
781eca9134a64b21ef12c6bc247e17e8,4
85c61e0cc2434942d1f390d17e33cd3b,5
9a2822557e0f39721ef3e6bafb56eb15,9
c3aa99e083c2d5e561885c5dc5214fe2,6
67bec2e5fbb06b5fe9069d6b92f08b44,7
f560a8633a1eb8de7a600406bb3d8fed,3
4248fe0e90778ade205c959177092a19,9
