regcap,empnum,estdate,candate,revdate,entstatus,opto,enttype,entcat,industryphy,entname,regcapcur,industryco,opfrom
500.0,3.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,7641408f2a90f6ea4a57c085f7c03fe8,,    汽车租赁,1430000000000.0
100.0,5.0,1400000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,5c15451807347368f19dd6a1d2c5a7c8,,,1400000000000.0
0.0,5.0,1430000000000.0,1520000000000.0,,注销企业,,其他有限责任公司分公司,内资企业,批发和零售业,099a521a5f394113667adb547b9081c5,,    百货零售,1430000000000.0
300.0,5.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,文化、体育和娱乐业,ca69f48eb236e2b432a7410d6e164af0,,  其他体育,1480000000000.0
500.0,3.0,1460000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,23ca8efa7d49bba1349720d2f6d957b5,,    其他未列明零售业,1460000000000.0
200.0,5.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,cce76c843e9b41bc30d38d2687fc907a,,    其他机械设备及电子产品批发,1480000000000.0
500.0,5.0,1450000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,科学研究和技术服务业,bd21893b52fdefbb713a2361d5faace9,,    地质勘查技术服务,1450000000000.0
200.0,2.0,1410000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,97c17acb28365ee43b44d5177ebb3133,,    其他食品批发,1410000000000.0
1.0,3.0,1410000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,居民服务、修理和其他服务业,8cd656eb628969c682662bf5a2dc81d7,,,1410000000000.0
50.0,1.0,1400000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,ae5d97a3d676ae142b85acae3d4489c4,,,1400000000000.0
501.0,5.0,1360000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,04d3cfb4193a7048e5ca159a7ecb7b92,,,1360000000000.0
301.0,5.0,1450000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,科学研究和技术服务业,045c206fc44b0bb63b51234e60aa3097,,,1450000000000.0
50.0,5.0,1450000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,8af486dfc93d681627872fd6cd378a99,,,1450000000000.0
50.0,3.0,1350000000000.0,,1530000000000.0,吊销企业,,有限责任公司(自然人投资或控股),私营企业,制造业,0e7767781e075a243a7a6ac93576b26f,,,1350000000000.0
100.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,5a1238081ba477df8d28b7692b899404,,    其他食品批发,1470000000000.0
5.0,3.0,1450000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,房地产业,8eca4293ee4656f960003aa9c3690181,,  物业管理,1450000000000.0
10.0,8.0,1200000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,信息传输、软件和信息技术服务业,f3828db649e2313f04648be9b778c35f,,,1200000000000.0
100.0,3.0,1500000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,2ff0a9c0824463af94bdc87a94884a4b,,    汽车批发,1500000000000.0
400.0,5.0,1460000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,e948c537a3d1300da66525d628777d3c,,    其他未列明批发业,1460000000000.0
50.0,3.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,8791e04e58f16968c4bf87b86299f76f,,    信用服务,1430000000000.0
450.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,61c5ae6490b7d2ddb71dcf4f2253724f,,    纺织品、针织品及原料批发,1470000000000.0
50.0,2.0,1300000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,4afcfbd461cdd32a5d0f999f5cdfa02a,,    农业技术推广服务,1300000000000.0
20.0,5.0,1440000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,农、林、牧、渔业,430f34d97ffdf7db2ebb2f374be4ae47,,    蔬菜种植,1440000000000.0
50.0,8.0,959000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,7ae0a2500b23f9338f42be13db3acf94,,    其他化工产品批发  ,959000000000.0
510.0,2.0,1350000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,制造业,71672657456156c26f2bf98be0208c8c,,    其他未列明金属制品制造,1350000000000.0
500.0,6.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,制造业,47152b634f80674b89d04dbea04c8af6,,  其他未列明制造业,1490000000000.0
0.0,2.0,1310000000000.0,,1480000000000.0,吊销企业,,有限责任公司分公司(自然人投资或控股),私营企业,批发和零售业,e34e1e258ab03fa2e3da6a05e3c98d8c,,    糕点、糖果及糖批发,1310000000000.0
50.0,6.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),,文化、体育和娱乐业,634e79943729def83175c2e8eb5a2d69,,  其他体育,1490000000000.0
100.0,8.0,1140000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,信息传输、软件和信息技术服务业,51f5420acb835f93802e29690c68d616,,,1140000000000.0
100.0,2.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,居民服务、修理和其他服务业,6559a89d43c8c82c9d2cff70f9966f78,,,1470000000000.0
0.0,2.0,1450000000000.0,,,在营（开业）企业,,有限责任公司分公司(自然人投资或控股),私营企业,批发和零售业,23f34cc4a7dac6e9f794f249c529f9d0,,    药品零售,1450000000000.0
100000.0,6.0,1340000000000.0,,,在营（开业）企业,,农民专业合作经济组织,农民专业合作社,农、林、牧、渔业,060de9f991a0f8a6d0b12a85148017d2,,    蔬菜种植,1340000000000.0
10.0,3.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,科学研究和技术服务业,c92c6062bf3c9752830317fad65b4472,,  其他科技推广和应用服务业,1490000000000.0
300.0,3.0,1500000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,1df44133483f68437ce5fc075a8570b1,,    其他机械设备及电子产品批发,1500000000000.0
50.0,2.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,1bb901fdb3e15953f9068a83161e2083,,    文具用品零售,1490000000000.0
300.0,5.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,520dc503793783625e047adf49938cb5,,    百货零售,1430000000000.0
50.0,5.0,1390000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,25395821fbd143aa2e938e375a4d5329,,    汽车批发,1390000000000.0
100.0,3.0,1420000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,住宿和餐饮业,0a579e85a9f311862c74c4d8a6c589b2,,  正餐服务,1420000000000.0
0.0,5.0,1390000000000.0,,,在营（开业）企业,,有限责任公司分公司(自然人投资或控股),私营企业,批发和零售业,1b6db5e55c9a12cadff128e4241dba91,,    药品零售,1390000000000.0
500.0,3.0,1420000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,建筑业,e2b0a95aea36788cc6024f0320ca84dd,,  提供施工设备服务,1420000000000.0
300.0,8.0,1210000000000.0,,,在营（开业）企业,1840000000000.0,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,7f76caf12e9ec326b15e4d7e6f4b33c0,,  其他科技推广和应用服务业,1210000000000.0
50.0,3.0,1250000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,0a6f9ef74dcb1ea5402ae7bd483fdc05,,    首饰、工艺品及收藏品批发,1250000000000.0
10.0,2.0,1440000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,831841090269593f7e47eb63d1331209,,,1440000000000.0
50.0,2.0,1370000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,d9c174c0f08914e9bfeb78624c605cac,,    箱、包零售,1370000000000.0
500.0,4.0,1410000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,1923b557dc43f0f5dab75c6de37e2ef5,,    农业技术推广服务,1410000000000.0
180.0,5.0,1500000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,7630d8f573d0d82310ef4ff07f8f542d,,    新材料技术推广服务,1500000000000.0
300.0,5.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,制造业,2fd0960c3421eba3d63d7781761f369d,,    绳、索、缆制造,1480000000000.0
100.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,c3f01d339c25a68421d66f1741c0f7af,,    电气设备批发,1470000000000.0
10.0,2.0,1340000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,dc6ade1566a503dc09bb1269806ea20d,,    其他机械设备及电子产品批发,1340000000000.0
100.0,5.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,8678ef7311c180bead456b0076b61ebb,,    其他未列明批发业,1490000000000.0
50.0,8.0,1120000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,建筑业,e230b91808d3040d4656e0746686b998,,,1120000000000.0
200.0,3.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),,交通运输、仓储和邮政业,df03dd4fce766bc48c11d95d71a16b5e,,,1430000000000.0
106.0,8.0,1170000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,水利、环境和公共设施管理业,14b969d6c2e9e4b1dbb83f0580a88ec9,,    水污染治理,1170000000000.0
300.0,2.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,建筑业,a49572704d289571d07eaf11e218a36b,,,1470000000000.0
200.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,14a2541a025a8b55e5859f7d2eb42f66,,    其他未列明专业技术服务业,1470000000000.0
50.0,6.0,1400000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,fcc11c01f287f02fa40984dbaf1f0c40,,,1400000000000.0
30.0,5.0,1300000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,558a976d45082e37e6fbdeef85a4843e,,    其他食品批发,1300000000000.0
10.0,3.0,1440000000000.0,,,在营（开业）企业,2070000000000.0,有限责任公司(自然人独资),私营企业,批发和零售业,63cab0008bc3ebd15b02bada79d17327,,    自行车零售,1440000000000.0
300.0,5.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,aa3b61bef3a21a02317bd0a5adaa6317,,,1490000000000.0
600.0,6.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,124ad4792932d3990ef3fded76464fe4,,    货摊纺织、服装及鞋零售,1430000000000.0
50.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,c6e80178e50b2dad152862270cc35ca0,,    其他机械设备及电子产品批发,1470000000000.0
51.0,2.0,1240000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,bddda7aa789f6129001692fb987c81c4,,    其他未列明专业技术服务业,1240000000000.0
50.0,2.0,1380000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,1f609a38671d501340dcfdb620a05e17,,    五金产品批发,1380000000000.0
500.0,3.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,4dfd5c47e8c09faded50722fc9a066d5,,  其他科技推广和应用服务业,1480000000000.0
20.0,7.0,1280000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,信息传输、软件和信息技术服务业,38daf74cd42732f8e4fa72c9add2e954,,    其他未列明信息技术服务业,1280000000000.0
200.0,4.0,1350000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,dd6ecbf819c0641474426a37697d8c2e,,,1350000000000.0
100.0,2.0,1450000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,3e2b63db2a34727f0e784e2ab645f780,,    其他日用品零售,1450000000000.0
0.0,3.0,1420000000000.0,,,在营（开业）企业,,有限责任公司分公司(自然人投资或控股),私营企业,建筑业,294a79509e6059e315d880d42680c149,,,1420000000000.0
150.0,5.0,1500000000000.0,1520000000000.0,,注销企业,,有限责任公司(自然人独资),私营企业,制造业,0650c60b8daf2fddaf5d8d1e1ac16ba9,,    其他通用零部件制造,1500000000000.0
100.0,5.0,1360000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,8328e878c6a85eecde890092d213616c,,,1360000000000.0
300.0,4.0,1310000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,3c8a55a871669994865e6238d89544c5,,    农业技术推广服务,1310000000000.0
10.0,3.0,1350000000000.0,,1500000000000.0,吊销企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,b1e5397a97a6c0f0dd426f670139d058,,,1350000000000.0
6000000.0,5.0,1370000000000.0,,,在营（开业）企业,,农民专业合作经济组织,农民专业合作社,农、林、牧、渔业,11e7e704aff76941f2931489032e7f4b,,    羊的饲养,1370000000000.0
10.0,5.0,1400000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,590b7bd16a29ce87eb7b7a80df476f68,,    酒、饮料及茶叶批发,1400000000000.0
80.0,2.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,22abf29e487a7356ec213bb4cb8ee19e,,,1430000000000.0
50.0,5.0,1300000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,299b13ce6cf462f740a137405aa9afdb,,    五金零售,1300000000000.0
300.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,70a4c6021127e39bb1eab184eb0507c3,,  其他科技推广和应用服务业,1470000000000.0
10.0,3.0,1400000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,a61fe941b829a6d558edeff98a65035d,,    文具用品批发,1400000000000.0
0.0,5.0,1480000000000.0,,,在营（开业）企业,2290000000000.0,有限责任公司分公司,私营企业,科学研究和技术服务业,d344611f9da8121afef0cb25ec5d36f4,,  其他科技推广和应用服务业,1480000000000.0
100000.0,5.0,1240000000000.0,,,在营（开业）企业,,农民专业合作经济组织,农民专业合作社,农、林、牧、渔业,71bec34ca4f32c7aa9968246c4e58c9a,,  其他农业,1240000000000.0
600.0,2.0,1390000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,7891249a7046189d61495b0e51c83bd5,,    其他未列明零售业,1390000000000.0
10.0,2.0,1390000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,84f63250baa658e03074e56455eec607,,    灯具、装饰物品批发,1390000000000.0
100.0,2.0,1420000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,74783b567863b0d9a1e4ae55dafe5215,,    摩托车及零配件批发,1420000000000.0
300.0,3.0,1300000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,00466ac13aa55782e11f043565c744eb,,    建材批发  ,1300000000000.0
0.0,5.0,1280000000000.0,,,在营（开业）企业,,有限责任公司分公司(自然人投资或控股),私营企业,批发和零售业,f3a06f2e4ee0a386fd731f3b8dad4e76,,    药品零售,1280000000000.0
200.0,3.0,1500000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,95def53b327ea9b361db834c296b6846,,    建材批发  ,1500000000000.0
200.0,2.0,1420000000000.0,1510000000000.0,,注销企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,6c8860a2f5b7f06203087ba503a8ad00,,    其他未列明零售业,1420000000000.0
300.0,5.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,居民服务、修理和其他服务业,f0524ed316dba0184cc9b2a0d52f5cc9,,,1490000000000.0
300.0,2.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,54609a581e49e8aa73a87d5fd16f2655,,    其他机械设备及电子产品批发,1470000000000.0
300.0,5.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,信息传输、软件和信息技术服务业,f7667756e51b99d165d78fa47f3fb8bb,,,1430000000000.0
50.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,c8fe2314f099f18300926a0c707ed5b8,,    其他未列明批发业,1470000000000.0
0.0,3.0,1480000000000.0,,,在营（开业）企业,,股份有限公司分公司,内资企业,金融业,7acf47fe46124045ed82a9f0d70fbb44,,    证券经纪交易服务,1480000000000.0
100.0,5.0,1460000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,8bb17473a49c3796a68bed155ada2851,,    农业技术推广服务,1460000000000.0
100.0,3.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,文化、体育和娱乐业,44d57bae1c50fe5ed8c943ed3b947c2c,,  其他体育,1490000000000.0
500.0,2.0,1360000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,制造业,4f3c591bff275774a7cac4dc4095c3c2,,    化纤织造加工,1360000000000.0
10.0,5.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,81507536a38582275a13ab94adc85802,,    建筑工程机械与设备租赁,1470000000000.0
0.0,1.0,1270000000000.0,,,在营（开业）企业,1680000000000.0,股份有限公司分公司(非上市、自然人投资或控股),私营企业,批发和零售业,0cc28224dfd4a694e5453ff469cee50c,,,1270000000000.0
50.0,2.0,1350000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,2750472b7cd570716b978a6c3feb74ba,,,1350000000000.0
50.0,8.0,1140000000000.0,,,在营（开业）企业,1460000000000.0,有限责任公司(自然人投资或控股),私营企业,批发和零售业,c61367037e357d1fd74c7a693192f7f2,,    其他机械设备及电子产品批发,1140000000000.0
180.0,8.0,1460000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,aca5e80a79cda2d607d60f0949de47a2,,,1460000000000.0
50.0,8.0,890000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,d01b13b6e64e1f2d5da18eaa18d38b9c,,    建材批发  ,890000000000.0
500.0,3.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,信息传输、软件和信息技术服务业,07c8768fcfd1a147f1f83f6019db8979,,,1480000000000.0
100.0,3.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,信息传输、软件和信息技术服务业,6bebecbcd4319d2d6c021c8a2ca22d7c,,    其他未列明信息技术服务业,1430000000000.0
300.0,3.0,1490000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,2c9e662619f9b96a73a69761f9d985f2,,    纺织品、针织品及原料批发,1490000000000.0
100.0,5.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,07f2ad78cc11607fdab00bb5939b9541,,,1430000000000.0
100.0,5.0,1450000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,baa98489ae06d2e0b40d4998b5393010,,    灯具、装饰物品批发,1450000000000.0
0.0,4.0,1460000000000.0,,,在营（开业）企业,1580000000000.0,有限责任公司分公司(自然人投资或控股的法人独资),私营企业,房地产业,7385aa11e4f8bdf60caae0e03149d1cd,,  物业管理,1460000000000.0
10.0,3.0,1390000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,52016737033ced02adb4c0df77bfb683,,    其他机械设备及电子产品批发,1390000000000.0
500.0,5.0,1280000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,信息传输、软件和信息技术服务业,e0ece930d15a753a6c1d778d8986e7ed,,    其他未列明信息技术服务业,1280000000000.0
300.0,8.0,1100000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,制造业,86a9fc4da1e14f959726d230b9090f7f,,    铸造机械制造,1100000000000.0
20.0,3.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,信息传输、软件和信息技术服务业,05f0738875d7acd8ea92eac50de1e98c,,    其他未列明信息技术服务业,1480000000000.0
50.0,5.0,1370000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,2519d7a148c42847b0ce02a916ff4ff2,,    汽车租赁,1370000000000.0
