entname,zlzpnum
cfc67601475cd3f1aea43964138b2b3b,3
7cab839f558f67ad18a2a8691d037765,5
98b4d70a528ae008f3b5a1c63b1fb413,45
9ba2c1f542b84c69d15848d79e30e5a1,3
c1f6b573abaa2ffde0e0f43a6bf25ca4,17
a41afb4033167b34a06388a35c6fdb93,7
fabf8516d419dbeb4b35ee7383485b79,6
16ef19c7a80389a972f9121db0f9c0d6,5
d0b0b6c864e6947a7c1c42f7cbda88f4,2
554c059dadd4234fb40e600ff18f9061,2
4aef6baa9d22fec905697b1c0c3d3f91,52
8a5d70753414ba44cc7223e730a89b28,21
0195a7f3a9f792e37daa21b88bc87de7,11
74aa1f583fe148f8ec894eb20ad9a1a6,3
ed696171b77e0609a44c19a6f205106f,11
cf80978999e64c2e6d3f60c376bc225c,5
33c035029665045dd9a7a1e845451558,8
0946e94362107ebc6be525bee720cf7e,7
d30a22d05c219429e76a2c0b23c416c5,6
e81f0ae98be76c04309296d21094574f,29
d485ce7e2f5e10cda7b194e9cee81d4a,7
0ff4f0d07e0e1989b5a35c27602bcd6c,10
d1a2951688747abf36fd1355b5b2ab8e,9
3ecedba6c9ca15f17d823b5a728dd386,21
d1d3e7afb90bbefd0d4656654d8b217e,53
71c62eaf468747123e560b499e0792fe,13
0e1f5cbe86408e1ca5bbcdef3f0d4686,14
495cb5e443d16b22ad4bf7eb5b8c222d,2
adc5b3ce28f4abcffdcc0a3c2050cec4,18
437f23e3dc86eadc8219e74d88027d80,3
6b39a431ab987b16e24922146829e154,20
6460758b725fd442b97322ec3224679d,23
463d5796c8f9f7e567c6b1e0739bcad0,11
11a8ef3b48e82875507dc54cb14aaf36,19
1ae2bebd2e8411fd437a2ee65f1d2190,9
1216d620c963c6ca8e785bec4bcb231d,1
0b9a91492899c0262bc605d52fa2392f,31
1e8aa851f7289614ae28b35cc763ef0c,6
a98d242553e58b6554e846e52d7f28cb,4
7b1fd31848f9647d0ffab479506d97fa,3
663ab67cdd5f1c5f29a596c2dc6a3ce5,101
7d81d874d4e139a1185820afb2281bcc,6
5b2b86ba5baa7cf4f9bdfb232f94430e,22
42ef4004833969c5c5fb8aac40c861e7,19
959484e462e574ab4c3d21fb31a7ae7b,96
b163b3baa10cebc4b7ba9764017b8990,38
a87fcd309e69c8057dafae4cb0e83a80,2
5c2fbadf37425983250091ac536a81e1,49
4740f1cbce68544e12f5e5f67fb78f2e,4
952adff23df5ec81f195624351e0fa4d,66
8fce11f978f55b1f3e2d1157b4db846b,9
fdc5f9d60076ad9706fc7daf9bc641be,7
a980869a4a432f65c723ecb68ecf221b,1
d6e9d4a916de46a7fa386de8ed438d12,5
5a633fa9e8956386fc6d8a48c6bad871,10
66f1a7fe1eb765217da468961fe2336e,42
80eda45b96ec05feaa802f61f3a9c445,23
5b6df862f93e1ff58586e23982e4c57d,35
4533bb21c15182c421b33fe1e61e4944,4
8631b5a8378f682210510bbfccfdb530,25
1754f4d2079a1b93f5d6eddcba016b30,11
991a0da0f754e256915bf74c54830244,62
828a968d4bebdba926b19dc2fbd60b33,13
fcca1b2f7fbfd17cc8789f2931b37da0,2
f8484d8e22ddae737143aa6b0629819b,11
582bd75de8f86554983444ebccdbb678,11
fbe0aaf845c5ad4c6282cb46574d7f3f,6
90bae52218f070ea92dd1621375370f0,2
a7416c8fdea094538d05b4ab6d629bbc,15
4f649eca47ff01af48c6570cbd8196dd,14
2e6170f2f210e240b2e3395e2b17aef9,11
c678832e81fd97a16249c521f8ba06f2,14
3f8d9173d4cc8ee0060b67d689caf906,33
a4d2dcf9c723d9e65f60932eff5ec71c,8
4b9fb1332db8eb38adc1924b53af23ca,17
a3976f1e256ce410ec385849b6b16367,28
2a868c3b8c55a1c7f483559181db632f,5
ccfbcd136644cf1ebf24ea3435ba7bac,20
0d9697135b26babde107a03698997b9f,2
1e0140395c73baef95ff58e10aada240,23
74e1513bc6b2081c807bd7f6568ecc35,55
d19f44f6d52e7dcca23e4831c509230b,12
d019400d5d3ccba02971d40f9267e569,13
0e5992a7ef87a02c6fbb6dd6946c49a6,4
f4153eae52a9e5fcc1e9029d1b659d56,12
85b61db68c7d5100d0e74a78c2bbc65b,5
a912a02dc9315ac26e4a7af42909ba61,2
86a8e54301b09121691ca2800d29b7d7,11
a7ba4fbb1f4326540960a1fcfeb79676,61
ac8c856469991b4967e4c553369ce90f,8
fcd46c5d29c130ab7a4d4fd93c53980b,19
fcce2cf0ec9b76a27d754446b6ddb498,6
04d707589c23d023953599843ffad912,47
ddbfebe3175ead84cb592f6fd898955b,5
f0350acf5b6dce0e0678818ec4d51e23,7
87177b178fec0aa55abbd03bf3873661,2
da018dda0cb0a456502ccbcd77951839,57
b97c0991ab9e5f70f1d579d506e3eab1,11
eb14194bf78af350675749154c114ad7,16
6edeaef4255a8f53f6c535bc8c4adb05,3
4e949972e3f8cd116b8e9e691aa43eae,46
815514d9bb7c9232f01d995b7ed46d7c,36
5b67dd754b11ac728bec28539776e715,14
caa6caa62a11e7b8579676fc828432d3,9
717a548f262d9cbb0f7a172ace40afcc,21
396aecde2470eead38956c67fbd2691c,13
9fa14fe3de2190a19950b40ed3e92b8c,3
9fbf93bf176eba26d52a2b83378fd17f,10
fb02dd84febcb8ad17bbadd20e9bb373,17
bdb64f0d37877fadd579a0f62c19ca08,8
a926463ebe33e85408ad992adf47e1bd,3
fc3c31b18b3a119e4fb593ab6f0cae82,12
11d73b407e7d4daf01a31530be0a3262,4
d42358c1a74bf19191c50eb8e8ff4ac0,19
650735a63d42be5834f4be2f54c938ec,8
d9f441e0a33ceab647c4b718d49bba6a,11
654262ccabd566742a627686ac55d27a,7
ce67230813205c3653597251649e672a,7
e24dc01d2f6117ed02baafb6eb27d6c3,22
be97e1d17a48b426421ff6e6291cb619,21
c66c9c50e7d92e7bd52f84374a3ebf38,23
126e007ef26f818a352c677d764ecb7a,73
8068a300b47df760ea6e4b74eb136bb2,14
abdaa598248974bddd3292bd1c700b09,6
6bd4353074e616bbb60410a3cebbe0c4,3
ee5044d26c04c9891cde8e3f3276b763,19
b49c7971244339e805c2d5e824f089ab,5
e9f7d72f952053fa3761895f2865fda7,4
c38d3f272b30befd24bfd6df687d126d,3
8f089a1d6268bbf02f1bb7170cbe817c,3
a5ab85e0f57bb60ba012acc062cf7874,2
9e3e2f6e4122ba2b8bac28719e0f18b6,27
f6c9d5261d58716420eab09f04e4d5ee,19
651a768fb1ddf551f09f39c657d86e6b,9
34d25f878a779e2ed0dacb2f9a08942a,18
38bf4d8c32473d6bc25a42e14cf82256,37
0af94fe84c0c7d88e611ba5621998d30,2
908cea89eccdb360e13c91dfbd9eed9f,10
46f764bf60a4f85f508dc7a673dbec3d,1
81cc2a7678981e40b69536651ca41bf6,25
15c8b8648badde5483b97023d9560fec,2
00f953130cb3ec3b5c56de6ed6c9281f,8
f0660bbec0fd03edee7a5aecb3e5e6c6,39
46ae8b2dbed70c2c3176975c1dcc771d,7
6961eabf495de69d491c43d2be8dfc12,7
df5139a94c6aa0d198eb2fbc2a1b1938,1
3b4f736b24ab3bc82c1954c0e05d1c22,7
461b861d228c030d6a75bb7c3824fb00,5
199570a607bbb69cdac12aad3a14cfd3,2
8eb94ce23cea0eac4b921fda4c65989e,9
bdc547773d2d280cff8bf186418f8afa,16
6d56a95b76bb56210b784a49cfe121f5,25
fadea53c2f45f8d0aedb60e834edc728,160
33ea34530412a87a83ef1db1872c4baa,19
06b08126eb540559461bc7aba032e692,10
554ad361ecb5b1c1e91e21af8dbc69c1,4
2e719d713e8423cbb38bfebfecc94892,4
ba15ca8472b6fe6257443f0e9f42761c,8
06f7dc52674a8dac52939c8efbdaec0e,8
02f869f6518a03b1147aa13c232a38c0,1
e63f33a6c3659e126a8bf1763fc58bad,3
de20ac4b297e9397ccfac7aac7fefc48,10
abade3e5d1de5b66019a1cba6ba1c493,4
9dfc2996f29e46effda7972363f5c0f3,1
eeed07a7593782094f46101ae1280743,12
5fe69f86a26a9bee599738633a87765c,3
922826bbafcb42491924690912bb8438,3
1a79e5cf4b327cce12f085b7a9b79fb2,3
1549d5f044e20c5c4d4f9f4fa13dba3d,7
6f13a7014cb149af128ec4f54010d705,3
19d283c5a31a7c35dcf7ee4f6ab3e740,9
d6d85f25e632619b3592075753f7993e,24
6628cfca87ea5afc84b36f59d55c3513,44
64d674571a570824cb4f75ec5d47bf41,8
05891f79df48e9e0c66bf613ef0ba3f0,6
e9185c3fca156a4e2a0f183339f65eff,8
cf29f02b7b5da17e47fbd3df43cb0ea0,3
bcdfc0cf1eda6a465679e49a01ad9ff9,1
767ab492c1f7241df160497566b8008f,4
54476556830b5b76b61199b9e727bec9,19
d03fb4f008f47c3adb361b07914872fe,18
ce68fa504c18df8156b88a770c1f35e4,2
0bec040b4ba7d6db8b2a8894fa8c586a,9
6235b0532f939c6258c1eee97622476a,9
fce934edb49f114cc6853007a4288531,6
46f0435707a9b4b1b687bcbb1d691f08,9
272a6129a23274a0aa0939390128970a,1
38476aba231edb0005ce23ebb163cbcc,1
fbcfaff3691c1a9fb821918c0397e8b7,6
d5d8bca736657eb666598b3832af810b,28
c17a25c0f3ac60b4234035e808cbc90c,20
d8bc763abf881cb75b956fe7f22bc800,4
d6bbc11b812c82304a12aa216de245f2,2
1e25da65e05a2fe8a19bf114e565a064,5
63be1799cfe8760daeae178706a29ddd,8
ad3e1da70785fac7c24a80ab75c9480f,13
cf9c429ce485c5a4b43d89f0c2372957,5
ddb6315ad3fc4e470377e62eaa7c8222,8
78007b946dd6a4f7e7e20d708757ee67,1
0b13a90ec84dcde5fd92dc7427c35999,26
aff18b1d71d941e8fa876bddadccfa37,23
a49b62f5e30228099f3dc185d5ddce0a,8
32bbca11fe617057542869ea8e8bd8a6,5
b67cd28f221da966e1e47e22dc1a3d97,5
1c3f726e0ca89ae054e8e312ffaed8ed,4
b3276b01304328ba40cf100263732ae0,4
34f9252665d866c8749374a795f03978,10
54499d36a1684ee8e7684ec717b3f6e9,8
ef69b1ec0e34d88bb7dec7e2715a1642,1
0529d03d8bb2a2cf1f90119ab530780f,2
7602c1e543a9378158122c08556e05e0,4
195d30b003f4ad3eaa1b6a90588c5249,2
704cf51816c32f399389b39d1dc85615,16
1b74374b95b5342f58542b2162786d4b,1
395d2c21c62c7458886ae8f10bec763c,8
1a783c5ccaf050b373e6e16c9a233bad,19
052d30aad48d50635be7d9a694a6a277,10
1dccd1932ad4b9c134317c4cebb83684,1
415234be1def57c901d5859c77533fde,2
e4b000f58744b07d84c04368b518a03d,1
d76a584c1185dcd8a181563cabd035c5,5
f7494b8888917331a097845784d3e6c9,6
2cd85bae89b325279b6b5c2fd31a9941,1
7a29f0495f8a19a62474e8bc437d679a,1
5bbdedd5f6d3e59f05fb6f5439cc3ca5,9
8d7d8c78ab6e797dad07547992de4b67,21
fceb6465c71787578042712dc2a9bc6b,10
f962d5af78af0c19714a81088d2330a4,1
7c920ec4c570a669e5577579461eadd9,1
a7c8eefe550a3466b296f25783e18c33,9
122a969ae5a223e501ff1bcc30f9990a,2
c3b438461382563a78936c6af8a31602,11
226bd01eebfac22bfcc2250af976e139,6
e7de16ca890465541ff007ba484d29a0,1
e4b6e547c0fb8f3df48ca0d7ec0dba59,4
a903752c719517d3683ac5633b4eadcd,6
b5b23280994a529dd6f8fc371187ceb8,4
55438783dccb12e36cec32c44e7e50dd,10
2c5d7dbcf584a385313b88eb6c17e36b,2
cca0e6aae89fce486adc4968e3d7a1fe,4
0b7fe5386a5cb78b82473dd9a9713197,11
a923e4701fe33591c782836d7d550c93,5
89b7620354777d61588514e084496b9f,2
0ce77a9a3d86490a8ac2da632ffe4c6f,21
83d69d55747cba128a168c94d020559e,9
88d6f1db256ca82790576ee62a0b2c34,2
2f76a4547d6cb36745793b614b90d4b9,7
31460e7d1ce7e214a857e3760ac7668b,2
3f21a8cf880fa5650bcc29e0102c2c14,2
2a8234180ebed7e719ef261efdc1bdb0,3
521d240d60457e9b6d77d8c291f9cadc,42
d0f09edc740db2536f2751dc3710cab2,6
1691e3833b491360ea306b3f1090321b,11
f004816aa8410c0a52809edb0dd80c8b,1
fa288d51e60abaa289b6950c4a3711f4,11
f2a833c1b47f7a9edfbcfa0af079b35b,9
009183a94581bc610ff76ba84dd9000e,2
6a6b745dca1eae0b9ecb61a6f13ee2e7,9
cfef9a1ee68c4e9689f1b306f775d019,14
18156a0451d0f1e42362aa72eb28c1db,3
bba90db7e010ded73e2e658574d81222,27
158425972422ce0cd66e9a7b67b3d29f,4
1f8acc6c9f0a39eb311f993837eab63a,29
14350072e3982330a88529710aa520d1,18
4c17c6ee4a230e6d26db3e6392ca88b9,7
19cddf4717130b053561509f99652b2f,32
d860d748cd87f28109d2d9608f99ccf7,12
bfb4dd51e35bc85fac625edecc58673c,6
ba606b07df50a4474ccb8656d1ff8370,23
f73afa69242bdaa5a58197c556b79ef5,6
346e2e5005c79ce0d684be8291a9e1b0,6
820e6985b817f6f79c808a29ea03235f,8
3027feb4b4d096cc15aca11db00d9b68,6
8d2868be9420182844530f799e61787c,10
9693ec87a82ebf97bb21f3314018aa00,8
30198d2c247aeba1dd91b7a34eeb2978,9
036764cd2d8c4be9881b2bf07c1bffca,2
7fa1b419fbe2cd1268425d291ffa121d,29
fa5d6ba423a4ee3f450f0f2ec245288e,12
6e0ab3e86cc46357fc74a634c69cc660,8
6fb64465f657a5d4fbd6a5ba9f7f77fa,7
675a8bd9b82dc7e8765130bf3ca84a90,9
8565f98a9fcd0a1da098f39082e0c283,3
b9a5c69e3839f8965b04f0fb44ab9520,2
84250410fc1c185a173f774e723e9229,2
be81eb9f4deef991e4f83afd82d52242,3
011d6f707b281cecb23c05ed32103e0c,2
206e0f51b93a505dacd48641a1c2fe0b,3
6eb384a52da8d45ffa39c934a584e6ab,6
767d6966c21118b3eef40f363595a6cc,1
9e8d67c3c9c795b5c6b920a0fe6bfd58,8
5f317a0d96196a9a71a6061a934ae226,19
49d8eec08b4deb63b6092a7c780d15ab,5
a53d7b8092b1aa0a8fa85d0d75ed03e0,33
026a260bcf1e7492ee257ff56e5362d1,10
c49fae0b7f0bda96a15c87a858ab6131,5
c076f5c436920f6d0c55cfb65920063b,18
3962b278325c5d1289bef84927ff762a,41
35cac1b8f49a3953e572910e20988bac,4
9b13730cebe9a40c7128cc7d2310d829,2
71f3291e3d2ce0634e9eaab8dfcdbec8,28
bfb91417f3e119424f62a2ba9879ae27,13
c14a97810afabf552bbeebe83932f7e3,4
ddf4180082a90825094764ad0d808efd,29
9a8e927c6a4c7c4f351354dbb97b9aac,2
83ea6927cfada086db5a7d6eadf614e9,4
418aead60b204edef84c7ebd442bba94,7
bd4d2a5b94c9efdb2af84e5a5fcb9d4c,8
667591a38004de8f5ac38395fdbd4310,5
22cee4f4036cf71cd700080723de420f,14
cd8e8feb508e4d45602c6a86f80830c8,6
5b6db3ecdaec7657c3dd05d0eb5a0e1d,3
1366731a9c7fc7ea3b615a66c9967039,1
21e2737a2d4046ed9626cc077ac51d9e,6
5e2f9af76e1e5483d238580b7371794e,2
a7f062f3e11b3a4e9c63cc9cf1508019,4
8d6c9455ad20a2daad2436fb31582bc0,1
9c6a839acb20ef8d09c5aa0602921016,2
0363941f691b0ada9075010069acd489,2
4001a452b3ce83fad051302c57468cdc,4
6d286c36c8d73addff3ad1b2d4d817f2,5
49d078e2bc2c3211422a6eadc462678d,3
8788c733d899b30fb5d94346665ddab7,4
78ba7d20faa39a707148e58fb4e56720,4
34d3513ccd273d2cf924f4006cc78c3c,1
4f11e7af7b4c37c8fdb8fb89a02e5fce,3
74e604ef1792a4e06df4c3fba08088e7,1
b8f1cf7c8567977c86a63d49034a28bd,3
59f57c1512d972c5d604ac782945959e,2
eb3d828145d2c944af933c9cada61a57,5
21526a692d5994f3c1aa6f0bd30da8fc,4
514a85bff502f630e5070f1a93fc0171,2
3a65582ae5278f68bfa5929d44b150b8,2
b4caffece3b3c119b63a3f08a306cd02,1
10f19ebee7e255b30d9b8c2f7e002bd3,1
0232fe4194def25f724c4539d090804f,3
afba0de7d2334007f0cb6fd34ccba78f,561
a5e85230dc8c5c9d30754a3eba9a1c8c,37
3f394b5f3ab2d381bf1daaf747f27676,18
02d43229080ff748eb5d94701fa60aab,32
de6db17db041337656c5c54af59b1bfe,49
020d446b44de6765e771ce7d9ecf561c,37
f8d8c595901ecb8fb33b545c3f9883f4,141
eebb3f33df377d91533be6622be3030d,15
13588a93f4169e2654521140db648e91,43
48b2fdd4f06a04501f14be2f5e3f0800,112
054f70fd300141e786c6aa168a306a5a,16
2bfbf587ba2c951808cda22b20e02676,40
360cc742a2facf70f9c435fcce3ccd64,37
8c9e0dfd05798c38b8cc7c274a911d94,45
2a2bbe0274f9b95841166ee3e4b3444d,18
2a3bdda13fc0a850978e1fe7962d17f9,5
b8b658bf3a9ac4ebbceabb97ab26fc77,94
eec90abf04437ac0495746a6a37056e1,24
c5ddb182fb67afa9fcb1bba7892e04c9,9
1285957e7c400cdf27c02d9ebf059fa0,11
3b39c41cb5210a722b813dea0d5d49a9,33
cb8948abc14cc5b11fefeeb6a9c5a19f,26
119501e6e9fcf4560e39227f763b471e,3
71672657456156c26f2bf98be0208c8c,8
afaa86f5996d924148f2c0ccbcf485b9,7
dc92be1345ff9e9e4e6d352b06330e76,1
5d4d59484117922c1266c4528b29da8f,1
871ec5e5c0fc82b95f1c21e40e50aafe,10
f645e3839d0c21d046afa3f987d8b22b,3
cfdcd04076ff2f7d71d357481e8724da,17
bf2c55338fa19bde5a2ad858f48c9839,15
2ad82698dcbf9f0dfb1f08d9be59c746,4
488b9f71f9982f2d83b2e8040e1fd669,17
d966ef67ef43f052824a6221d6e8c173,1
deda54f4a5df777199393196bbcc55a2,49
1ecaab3333ee6ec13cdf34f199a0fe2e,47
11adc1f2f005f7aaf1703f0a7d4b837c,15
09bb1c9615ece493da58003021614491,28
09aace1377b3bb7df4d6dc120494630b,22
40d7c7cb514d78769d95ef01b5073a87,52
bc6ec03578aa31b9d524cf3628c41f4f,6
6506a5a4c0ea3a4d4d0586dc103f7417,17
f0ef2dc1804cc50518080f383e2e986e,28
cd52ddb35605219309a184082ff24eae,19
75282c179ddb7ed79938197e52c03a26,2
3dbfaa1c859c34201068d2c1c467c06b,18
8fd99453f6ab97776327db1d1747a7b8,8
f1e172a320e54d91e5a6dd98de695242,669
d11a241e10fd5e5ecab2d3a05d1516f2,4
334c95085df974bb3265677e7bb73093,25
5bdacdfde716861c44403f4d9d75a8f4,2
4dc40f6ce78ce436101a9ea7f65a6652,9
d941f3c1af9e96e8f228caa05b758823,5
cccd274751c3fbe489953b318ac024a0,5
9976dfc4de5df46c4d7212831a101177,19
14afe58af783034cf649681a844732f0,32
091d25d88f5f093df7a4b7fb5805110b,4
ac3dea4f74235bd990aaf818cd84ac96,8
5f1278b10621255b7b468a95e30a82d0,12
dd203f3483b92a7e9700de8cfab8d4e2,8
bee63c4d2b2c8e01d55dfc31ef532373,8
70a3a182857785244a12494b2087f892,15
554a92ed568c659b756882441b559ddc,4
753c8895ddc02ef59a22b869bbd457f6,5
ff725ec06de5093e79f415b0af75c199,16
dc13d28f6df72497694b86a698d4d2de,11
c6006baff74787d782c07ee3890219a1,2
23f9a54090390138b97b942b5fcfc9c7,11
d49fc2e5a0d1d07ab91abbf81631a8ce,3
e21224fe43766dfced783b151a1abf52,34
802e2a030a406340869a31fd7c4d0776,3
dfe4d3c35174cce3a7a0698173e54183,2
db8317d7637e24ecf0c98acd2254b5f0,2
331de458a3048b7ea0d468ccee5040f7,13
197255c4d18d16b612dc851e445bd430,56
3c538b73280987ac8845c4e626490149,51
79e2a0a86e48bef26685eb6f37cbfd38,21
a40df05110451a3545ded7ecdf286d0c,4
6b01205bb32d93937e9078499a02647c,35
0c947531c4d45184afbac3c279ac67cb,9
b347da9d9dacebe51d88c76625b7780a,7
572e0b6a16e58149ed86c0fddb6bcc13,2
4a1a1a205d7dc340b9ef684f101daab1,9
03421b1f1f2a50ea4068a55d2a46575b,9
6a1a5a161ae9ea0c5dc233f5677aedf0,21
d8dab2e259565d5ffc0b4950f2c3ca01,7
62c70b5223e4618e17320cf10c25edb2,5
76d41ddf736798149443d5462677cb44,63
95550e468c919f7e8630d858217b1466,19
7115c01d6e4e75d0feea584ea9e0677b,6
e63ef15b5ea3138a4e96440ab71f5233,24
bed62ae62d2587c54d96ce5e1748eaa4,53
800863bf5ead4442232fd204ec58ffbf,4
78a78aa36d1210d9d9cf49e0d4007d9b,30
78c88cb298cde014d39ed2a22b386443,5
a78a842480411665bb716f71ffc135ef,20
edd61c1eee9d827cf1fe0b60f46767f9,29
f911b5d2728b7cfa9c1a337f29cc075b,3
f13b7f3b386450259ab6959a8e7b4b82,4
6a242e0c5a9b615a4564503dbcd21637,125
c9d076e48c36136547a8dbbd2d7491f1,3
9e736d0a6c4a6277f233cb8235c0580d,15
6ef95c121dfbcd4a74a09359d825560e,9
16bed2851011cff6047a0641302b1b9f,16
48d0d816c2879b143bc6916fa5c144bc,23
f362c47168dcb8bdea8e2b82e0c84096,5
23c17b3b6142e7ee70c5fdac00f008f2,12
9a99ed019ddc8608298586ecc75635dd,34
010f094cd0ae1865c1b246102375dc89,150
f342ba7a3f6945a7f2bb59290280d2db,5
3a7d29fa88ee1d8709af216a8aa84ed6,2
b7f38d00dbd14b6e00dfbc8984255989,14
d4a68f310915be61e2b6fa064571f60f,1
47284e27e358e95084a7f4800a781c94,14
f2ce9c4261899d201161c8d7790d35c9,1
8ea040d5fd3d26c7c415b44f0647de0c,1
15633e315547132fe980b6d79c95e4bd,5
e819c0421a151d39f934af8c59b938c9,57
6eac47071698afed2a71b584f8a079a3,2
1ef155c3c1d368a254d1226e7a6ec742,42
144294526d30bf66cb0fbe1650bec119,28
1646192bcc1be075122dc822428108fc,4
3841846da9502762e86551e5f5ed81cb,30
b7cabcfd0b9acbad53b0a916e7de9f6f,2
d2c8fa232968d68bc747e213f093385b,4
d2b995ecb00fd154fa21dc6c4989c44b,6
c9d695444b45ccccd3fae59dc2381e3b,24
10d35c7bbbb830fc73bf9a70ec7f6558,61
6cf59e820676c983fdf8cf663e4b1e0e,9
0e524f17b5724599b666a5e0853edbb7,2
5733467b68d59b7f935bdb2bf16dc150,20
af3482316d5e71d551527ebcbf6e42a9,14
7b164a8c702e715d89610db9a79615c2,21
b860f4d7f5bb530fc508f4830ce9c0ae,71
06be0da394bbaf3e97d565c3ad635877,15
b3d6958f719e25fa9f228f4600eb5cea,16
ce4f3e84f13afa20dcd1e6936ecf6040,1
f29d5f11bf77402c5169e8a68e31f136,23
7d2fcc5914789592c833f3946bd4cef6,13
5646dfccb550fe7d177f8b9e17e7a122,6
939819f95df6356828a047a0d3739b83,1
26736accfcb094cffb03aa79ebbe5883,8
e8e5e5fef2822843871942214e9e92af,5
ce3265a93bf1585b1ed2199278033348,15
11e5b7865ee9fe7db76f0d7d381e8dac,2
ab4d9bef98d4f17181fdc0059fab8356,14
1fed243449800517c12a7d7a91f9b9a6,33
a82c1c900558d5f037442f7e2146b938,29
45d9ee8374412be7c590e56d445d5c00,6
66088ac5ded4dc6a0b6efc2ea8014888,7
087943780d3c7cc19be4ffbcdd921de4,1
ecc9c7d7545250aac5d71aa5891c966c,32
c669509ba5eb04413113a0179f276704,12
3635702bf2a95e1e043b2a94862bc709,36
0ba77cd49014c4efb5d42a5606fd0f17,32
997d0ef5dbf2e5a256fc3d64aeeb18d6,15
66aaf87fc251481e16802de34a64a91e,8
3c4e939ceb1b29f6c2204001259d9209,9
9745270eada3f95f6f67eaa8ae811c5f,5
068ab7aa6af11c8fb63fa0f93a2f05bf,2
33eb3749d9cef14dec307636470538cb,8
12fb48f8b698e958f2387b4d7331fb61,12
ddcba41edcd7d02b2bbb56e7fb6d78a6,21
5e34628b2a16532cc5f5f5242a07095a,7
e63208adf39e18962cd2e7b062cc4004,11
1cb38018661cd927433e0094fc4695a6,8
6ef2636f8ee90d42c7350748de6068ed,22
1b6be953d3a5d7388647fb7c3437b9c7,9
871f00038afb70dc4b16e12a5150db9e,11
fd49c31fa0f1ffbd154a08315a1e34cb,2
6510c9dcfd5b9668b006bafb4c6a7ffb,30
998237aec1a053a7b4ce7e0485cf4c64,4
67501508665fbf63e1c79d4c27e5920f,8
f0563ed18676ac4587d546931549c8be,4
6a02d9f95502c874fc4a1cb9346cddf3,6
a2355fea0c0f747881cac1b716e71a29,2
9ebcc57e02af63f35792241146242b18,14
